Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,Rue Jolet 13 & 15,"€367,000",6 bedrooms | 260 m² ,6 bedrooms,No,Not installed,Good,42 m² ,No
House for sale,Rue Quinettes 12,"€219,000",3 bedrooms | 111 m² ,3 bedrooms,Yes,Semi equipped,Good,536 m² ,No
Bungalow for sale,Rue Eau Morte 10,"€229,000",3 bedrooms | 155 m² ,3 bedrooms,No,Semi equipped,Good,1600 m² ,No
Apartment block for sale,Rue Large Voie 166,"€259,000",7 bedrooms | 215 m² ,7 bedrooms,No,Semi equipped,Good,1600 m² ,No
Apartment block for sale,Rue Ferdinand Heuveneers 22,"€299,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,Good,1600 m² ,No
't Groenehof,2860 — SINT-KATELIJNE-WAVER,"€445,750",3 bedrooms | 164 m² ,3 bedrooms,No,Installed,Good,1600 m² ,No
House for sale,Rue de Locht 52 Box 1,"€515,000",6 bedrooms | 255 m² ,6 bedrooms,No,Installed,Good,77 m² ,No
House for sale,Avenue de Jassans 50,"€495,000",3 bedrooms | 187 m² ,3 bedrooms,No,Semi equipped,Good,394 m² ,No
Villa for sale,St John's 3,"€895,000",4 bedrooms | 287 m² ,4 bedrooms,No,Installed,To be done up,394 m² ,No
House for sale,Route de Souxhon 344,"€375,000",4 bedrooms | 210 m² ,4 bedrooms,No,Installed,As new,1170 m² ,No
Mixed-use building for sale,Rue Marie-Christine 124,"€425,000",2 bedrooms | 220 m² ,2 bedrooms,No,Not installed,To be done up,1170 m² ,No
Exceptional property for sale,1050 — Ixelles,"€2,750",6 bedrooms | 668 m² ,6 bedrooms,No,Hyper equipped,As new,500 m² ,No
House for sale,1050 — Ixelles,"€570,000",5 bedrooms | 185 m² ,5 bedrooms,No,Installed,To be done up,500 m² ,No
Apartment for sale,Markt 132 Box 4,"€215,000",2 bedrooms | 89 m² ,2 bedrooms,No,Installed,Just renovated,500 m² ,No
Apartment for sale,Rue des Colombières 12 Box 21,"€264,000",3 bedrooms | 115 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
Apartment for sale,Rue Julien d'Andrimont 3,"€165,000",2 bedrooms | 85 m² ,2 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Visé Voie 560,"€235,000",4 bedrooms,4 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Weerstandlaan 40 Box 2,"€237,000",2 bedrooms | 123 m² ,2 bedrooms,No,Hyper equipped,Just renovated,500 m² ,No
House for sale,Limburgstraat 112,"€299,000",6 bedrooms | 216 m² ,6 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Chaussée des Forges 12,"€85,000",3 bedrooms | 110 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
House for sale,Rue Neuve-Voie 252,"€90,000",4 bedrooms | 186 m² ,4 bedrooms,No,Not installed,To renovate,75 m² ,No
House for sale,Chaussée de Liège 150 B,"€275,000",3 bedrooms | 125 m² ,3 bedrooms,No,Installed,Good,75 m² ,No
House for sale,Verbindingsstraat 12,"€289,000",3 bedrooms | 154 m² ,3 bedrooms,No,Semi equipped,Good,75 m² ,No
House for sale,Rue du Vieux Clocher 7,"€350,000",4 bedrooms | 160 m² ,4 bedrooms,No,Installed,Good,75 m² ,No
House for sale,Olmenstraat 24,"€350,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,To renovate,323 m² ,No
House for sale,Appelboomstraat 500,"€389,000",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,To renovate,380 m² ,No
Town-house for sale,Avenue des Croix de Guerre 332,"€430,000",3 bedrooms | 135 m² ,3 bedrooms,No,Installed,To be done up,100 m² ,No
Villa for sale,Kastanjelaan 4,"€1,175",5 bedrooms | 520 m² ,5 bedrooms,Yes,Hyper equipped,As new,100 m² ,No
House for sale,Rue des Alliés 42,"€239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
House for sale,Rue des Alliés 42,"€239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
Villa for sale,Rue des Alliés 42,"€239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
Villa for sale,Rue des Alliés 42,"€239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
House for sale,Rue Haute 27B,"€475,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,As new,485 m² ,No
Villa for sale,Avenue de l'Helice 35,"€1,150",6 bedrooms | 232 m² ,6 bedrooms,No,Installed,Good,600 m² ,No
House for sale,Marie Collartstraat 12,"€365,000",3 bedrooms | 132 m² ,3 bedrooms,No,Installed,Just renovated,40 m² ,No
House for sale,Zonnestraat 120,"€139,900",2 bedrooms | 110 m² ,2 bedrooms,No,Semi equipped,To be done up,40 m² ,No
House for sale,Hogerlucht 58,"€299,500",3 bedrooms | 220 m² ,3 bedrooms,No,Semi equipped,Good,40 m² ,No
House for sale,Chaussée de Tongres 346,"€320,000",4 bedrooms | 180 m² ,4 bedrooms,No,Semi equipped,To renovate,650 m² ,No
House for sale,Bosstraat 10,"€455,000",5 bedrooms | 260 m² ,5 bedrooms,No,Not installed,Good,70 m² ,No
House for sale,Edingsesteenweg 455,"€425,000",3 bedrooms | 178 m² ,3 bedrooms,No,Hyper equipped,To be done up,70 m² ,No
Villa for sale,Rue Des Alliés 26,"€300,000",6 bedrooms | 240 m² ,6 bedrooms,No,Semi equipped,To be done up,420 m² ,No
House for sale,Olmenlaan 10,"€305,000",2 bedrooms | 150 m² ,2 bedrooms,No,Hyper equipped,As new,420 m² ,No
House for sale,Olmenlaan 10,"€305,000",2 bedrooms | 150 m² ,2 bedrooms,No,Hyper equipped,As new,420 m² ,No
House for sale,Rue d'osseghem 122,"€330,000",2 bedrooms | 97 m² ,2 bedrooms,No,Hyper equipped,To be done up,420 m² ,No
Apartment block for sale,Rue Charles Quint 74,"€785,000",4 bedrooms | 215 m² ,4 bedrooms,No,Hyper equipped,To be done up,420 m² ,No
Apartment block for sale,Rue Charles Quint 74,"€785,000",4 bedrooms | 215 m² ,4 bedrooms,No,Hyper equipped,To be done up,420 m² ,No
Apartment block for sale,Rue Georges Thone 10,"€129,000",5 bedrooms | 282 m² ,5 bedrooms,No,Semi equipped,To renovate,420 m² ,No
Apartment block for sale,rue des alliés 78,"€200,000",3 bedrooms | 160 m² ,3 bedrooms,No,Installed,To be done up,420 m² ,No
House for sale,Route de Huy 1,"€315,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,As new,250 m² ,No
Exceptional property for sale,1050 — Ixelles,"€2,750",6 bedrooms | 668 m² ,6 bedrooms,No,Hyper equipped,As new,500 m² ,No
House for sale,1050 — Ixelles,"€570,000",5 bedrooms | 185 m² ,5 bedrooms,No,Installed,To be done up,500 m² ,No
Apartment for sale,Markt 132 Box 4,"€215,000",2 bedrooms | 89 m² ,2 bedrooms,No,Installed,Just renovated,500 m² ,No
Apartment for sale,Rue des Colombières 12 Box 21,"€264,000",3 bedrooms | 115 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
Apartment for sale,Rue Julien d'Andrimont 3,"€165,000",2 bedrooms | 85 m² ,2 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Visé Voie 560,"€235,000",4 bedrooms,4 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Weerstandlaan 40 Box 2,"€237,000",2 bedrooms | 123 m² ,2 bedrooms,No,Hyper equipped,Just renovated,500 m² ,No
House for sale,Limburgstraat 112,"€299,000",6 bedrooms | 216 m² ,6 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Rue du Ruisseau 20 Box LOT 3,"€310,000",3 bedrooms | 160 m² ,3 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Rue du Ruisseau 21 Box LOT 2,"€310,000",3 bedrooms | 160 m² ,3 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Rue du Ruisseau 24 Box LOT 1 G,"€310,000",3 bedrooms | 160 m² ,3 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Chaussee de Bruxelles 628 Box V6,"€850,000",4 bedrooms | 261 m² ,4 bedrooms,No,USA hyper equipped,As new,890 m² ,No
House for sale,Rue Gotte Mayon 11,"€195,000",3 bedrooms | 85 m² ,3 bedrooms,No,Hyper equipped,As new,240 m² ,No
House for sale,Rue Georges Hubin 37,"€349,000",3 bedrooms | 145 m² ,3 bedrooms,No,Installed,Good,1400 m² ,No
Villa for sale,Willekenslaan 92,"€450,000",5 bedrooms | 253 m² ,5 bedrooms,No,USA hyper equipped,To be done up,1400 m² ,No
House for sale,Rue Rodgy Thier 27,"€149,000",2 bedrooms | 77 m² ,2 bedrooms,Yes,Installed,Just renovated,136 m² ,No
House for sale,Rue du Moulin 20,"€219,000",3 bedrooms | 121 m² ,3 bedrooms,Yes,Hyper equipped,As new,136 m² ,No
Maisons Arborescence,Rue des Crinoïdes 1,"€339,000",3 - 4 bedrooms | 224 - 247 m² ,3 - 4 bedrooms,Yes,Hyper equipped,As new,136 m² ,No
House for sale,Rue Jean Corbion 6,"€80,000",4 bedrooms | 90 m² ,4 bedrooms,No,Not installed,To renovate,90 m² ,No
House for sale,Rue d'Athus 28,"€160,000",4 bedrooms | 117 m² ,4 bedrooms,No,Semi equipped,To renovate,90 m² ,No
House for sale,Rue des Plaiteux 3,"€280,000",4 bedrooms | 128 m² ,4 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,Rue des Pinsons 7,"€375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Villa for sale,Guido Gezellelaan 8,"€799,000",4 bedrooms | 295 m² ,4 bedrooms,No,Semi equipped,Good,500 m² ,No
Town-house for sale,Rue de Lodelinsart 211,"€199,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Rue Franquet 5,"€99,000",2 bedrooms | 88 m² ,2 bedrooms,No,Not installed,To renovate,500 m² ,No
Maisons neuves à vendre à,Rue du Brouck,"€108,535",3 bedrooms | 166 m² ,3 bedrooms,No,Not installed,To renovate,500 m² ,No
House for sale,Fonteneu Haut 19,"€129,000",3 bedrooms | 116 m² ,3 bedrooms,No,Not installed,To be done up,70 m² ,No
Mixed-use building for sale,Place Gilles Gerard 13,"€139,000",1 bedroom | 97 m² ,1 bedroom,No,Installed,As new,70 m² ,No
House for sale,Bereidersstraat 37,"€139,000",2 bedrooms | 125 m² ,2 bedrooms,No,Hyper equipped,Just renovated,70 m² ,No
House for sale,Opgeëistenstraat 139,"€139,000",2 bedrooms | 130 m² ,2 bedrooms,No,Installed,Good,70 m² ,No
House for sale,Chaussee Freddy Terwagne 98,"€145,000",3 bedrooms | 108 m² ,3 bedrooms,No,Not installed,To restore,35 m² ,No
House for sale,Rue de l'Avocat 5,"€149,000",4 bedrooms | 113 m² ,4 bedrooms,Yes,Installed,Good,35 m² ,No
House for sale,Rue Jos. Duchateau 21,"€167,000",2 bedrooms | 153 m² ,2 bedrooms,No,Installed,Good,430 m² ,No
House for sale,Rue Werihet 105,"€169,000",2 bedrooms | 90 m² ,2 bedrooms,No,Installed,Good,35 m² ,No
Farmhouse for sale,Rue d'Atrin 11,"€175,000",5 bedrooms | 300 m² ,5 bedrooms,No,Not installed,To renovate,35 m² ,No
House for sale,Voorzienigheidsstraat 41,"€175,000",3 bedrooms | 115 m² ,3 bedrooms,No,Semi equipped,Good,30 m² ,No
House for sale,Rue du Bouxthay 261,"€179,000",5 bedrooms | 106 m² ,5 bedrooms,Yes,Semi equipped,To renovate,790 m² ,No
House for sale,Rue Lamay 163,"€179,000",4 bedrooms | 130 m² ,4 bedrooms,No,Installed,Good,60 m² ,No
House for sale,Rue des Pres 26,"€180,000",2 bedrooms | 90 m² ,2 bedrooms,No,Not installed,To be done up,120 m² ,No
House for sale,Rue Grand'Ville 86,"€180,000",5 bedrooms | 200 m² ,5 bedrooms,No,Installed,Good,122 m² ,No
Mixed-use building for sale,Rue Vivaldi 41,"€189,000",2 bedrooms | 141 m² ,2 bedrooms,No,Not installed,To be done up,133 m² ,No
House for sale,Rue Wazonstree 11,"€189,000",2 bedrooms | 117 m² ,2 bedrooms,Yes,Installed,Good,139 m² ,No
House for sale,Groeneweg 67,"€189,000",2 bedrooms | 130 m² ,2 bedrooms,No,Semi equipped,Good,80 m² ,No
House for sale,Kerkplein 19,"€198,000",2 bedrooms | 87 m² ,2 bedrooms,No,Installed,To be done up,80 m² ,No
Mixed-use building for sale,Rue du Pont de Wandre 19,"€199,000",2 bedrooms | 191 m² ,2 bedrooms,No,USA semi equipped,Good,100 m² ,No
House for sale,Rue Petite Foxhalle 126,"€199,000",3 bedrooms | 125 m² ,3 bedrooms,Yes,Installed,As new,151 m² ,No
Villa for sale,Rue Alfred Musin 72,"€200,000",3 bedrooms | 130 m² ,3 bedrooms,No,Not installed,Good,210 m² ,No
House for sale,Rue Bois de Mont 278,"€202,000",3 bedrooms | 151 m² ,3 bedrooms,No,USA semi equipped,Just renovated,150 m² ,No
House for sale,Spinstersstraat 29,"€207,000",3 bedrooms | 148 m² ,3 bedrooms,No,Hyper equipped,As new,20 m² ,No
House for sale,Route de Paifve 5,"€209,000",2 bedrooms | 137 m² ,2 bedrooms,No,Semi equipped,Good,84 m² ,No
Mixed-use building for sale,Martinrive 6,"€209,000",5 bedrooms | 208 m² ,5 bedrooms,No,Semi equipped,To renovate,84 m² ,No
House for sale,Martinrive 6,"€209,000",5 bedrooms | 208 m² ,5 bedrooms,No,Semi equipped,To renovate,84 m² ,No
Leuze - Centre ville,7900 — Leuze-En-Hainaut,"€214,464",3 bedrooms,3 bedrooms,No,Semi equipped,To renovate,84 m² ,No
House for sale,Chaussée de Wavre 425 Box 1,"€215,000",2 bedrooms | 90 m² ,2 bedrooms,No,Installed,Good,109 m² ,No
House for sale,Parkstraat 11,"€215,000",5 bedrooms | 205 m² ,5 bedrooms,No,Hyper equipped,Good,110 m² ,No
House for sale,Rue de la Resistance 115,"€219,000",3 bedrooms | 105 m² ,3 bedrooms,No,Installed,Good,855 m² ,No
House for sale,Cite de l'Esperance 86,"€220,000",5 bedrooms | 170 m² ,5 bedrooms,No,Installed,Good,110 m² ,No
House for sale,Rue Royale 3,"€225,000",5 bedrooms | 325 m² ,5 bedrooms,No,Semi equipped,To be done up,150 m² ,No
House for sale,Langeweg 58,"€225,000",4 bedrooms | 173 m² ,4 bedrooms,No,Installed,As new,85 m² ,No
House for sale,Kloosterstraat 97,"€229,000",3 bedrooms | 157 m² ,3 bedrooms,No,Semi equipped,To renovate,85 m² ,No
TONGRE NOTRE DAME - 8 maisons,Rue Tour de la Vierge 1 - 8,"€229,900",3 bedrooms | 132 - 150 m² ,3 bedrooms,No,Semi equipped,To renovate,85 m² ,No
Mixed-use building for sale,Rue de Framont 2,"€230,000",3 bedrooms | 144 m² ,3 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,Rue de Framont 2,"€230,000",3 bedrooms | 144 m² ,3 bedrooms,No,Semi equipped,Good,150 m² ,No
Residentie Berghof,Bergstraat 8,"€232,948",3 - 4 bedrooms | 136 - 155 m² ,3 - 4 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,Langeweg 62,"€235,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,As new,101 m² ,No
House for sale,Rue de Bodegnee 4,"€248,000",4 bedrooms | 145 m² ,4 bedrooms,No,USA hyper equipped,Good,960 m² ,No
House for sale,Oppuursdorp 14,"€249,000",2 bedrooms | 135 m² ,2 bedrooms,No,Hyper equipped,Good,960 m² ,No
House for sale,Vieille Voie de Tongres 69,"€249,000",6 bedrooms | 252 m² ,6 bedrooms,No,Not installed,To be done up,653 m² ,No
House for sale,Rue du Bon Air 133,"€249,000",3 bedrooms | 159 m² ,3 bedrooms,No,Hyper equipped,Good,57 m² ,No
House for sale,Rue du Paradis 2,"€249,000",2 bedrooms | 135 m² ,2 bedrooms,No,Installed,Good,158 m² ,No
House for sale,Rue de Lanaye 96,"€249,000",3 bedrooms | 116 m² ,3 bedrooms,No,Not installed,To be done up,306 m² ,No
House for sale,Rue du Cheval Blanc 33 Box A,"€249,000",3 bedrooms | 139 m² ,3 bedrooms,No,Installed,Good,100 m² ,No
House for sale,Boulevard des Hauteurs 39,"€250,000",2 bedrooms | 103 m² ,2 bedrooms,No,Hyper equipped,Good,410 m² ,No
House for sale,Rue des Kessales 87,"€250,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,Good,349 m² ,No
Villa for sale,Allee du Beau Vivier 50,"€259,000",3 bedrooms | 92 m² ,3 bedrooms,Yes,Installed,To be done up,500 m² ,No
House for sale,Rue Chiff d'Or 93,"€259,000",4 bedrooms | 172 m² ,4 bedrooms,Yes,Installed,Good,765 m² ,No
House for sale,Rue de Lorraine 110,"€259,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,To be done up,300 m² ,No
Woonerf Velodroom,Heuvelgoor 17,"€264,252",2 - 3 bedrooms | 119 - 145 m² ,2 - 3 bedrooms,No,Installed,To be done up,300 m² ,No
House for sale,Rue Voie de Liege 146,"€269,000",4 bedrooms | 210 m² ,4 bedrooms,No,USA hyper equipped,As new,284 m² ,No
House for sale,Rue Alphonse Demunter 1,"€275,000",4 bedrooms | 150 m² ,4 bedrooms,No,Not installed,To renovate,284 m² ,No
House for sale,Kleine Molenstraat 27,"€275,000",3 bedrooms | 112 m² ,3 bedrooms,No,Installed,Just renovated,130 m² ,No
Apartment block for sale,Rue Saint Leonard 179,"€279,000",5 bedrooms | 237 m² ,5 bedrooms,No,Installed,Good,117 m² ,No
House for sale,Rue des Fontaines 130,"€279,000",4 bedrooms | 155 m² ,4 bedrooms,No,Installed,As new,310 m² ,No
Country house for sale,Rue Remikette 37,"€280,000",3 bedrooms | 120 m² ,3 bedrooms,No,Hyper equipped,As new,265 m² ,No
New real estate project - Houses for sale,Oostendse Baan 86,"€280,000",3 - 4 bedrooms | 138 - 157 m² ,3 - 4 bedrooms,No,Hyper equipped,As new,265 m² ,No
Project ROTTERIJ,9600 — Ronse,"€282,500",3 bedrooms | 125 - 147 m² ,3 bedrooms,No,Hyper equipped,As new,265 m² ,No
Gezellige nieuwbouw woonwijk te koop in Beveren-Le,Sint-Jansstraat,"€283,000",2 bedrooms | 157 - 173 m² ,2 bedrooms,No,Hyper equipped,As new,265 m² ,No
REGATTA WONINGEN,La Esterellastraat 11,"€284,000",2 - 3 bedrooms | 125 - 155 m² ,2 - 3 bedrooms,No,Hyper equipped,As new,265 m² ,No
House for sale,"Paul Janson 1,B","€285,000",3 bedrooms | 220 m² ,3 bedrooms,No,Hyper equipped,As new,50 m² ,No
New real estate project - Houses for sale,9000 — Gent,"€285,000",1 bedroom | 88 m² ,1 bedroom,No,Hyper equipped,As new,50 m² ,No
New real estate project - Houses for sale,Nederzwijnaarde 6,"€285,000",1 bedroom | 88 m² ,1 bedroom,No,Hyper equipped,As new,50 m² ,No
House for sale,Rue du Brouck 79,"€289,000",5 bedrooms | 242 m² ,5 bedrooms,No,Not installed,Good,598 m² ,No
Woonproject Zittaart Fase 3,2450 — Meerhout,"€295,000",3 bedrooms | 133 - 155 m² ,3 bedrooms,No,Not installed,Good,598 m² ,No
House for sale,Rue du Cimetière 22,"€295,000",4 bedrooms | 161 m² ,4 bedrooms,No,Not installed,To renovate,598 m² ,No
L'Orée de Seumay,1360 — Perwez,"€299,000",3 bedrooms | 158 - 189 m² ,3 bedrooms,No,Not installed,To renovate,598 m² ,No
House for sale,Chaussee de Nivelles 206,"€299,000",3 bedrooms | 117 m² ,3 bedrooms,No,Semi equipped,Just renovated,598 m² ,No
Apartment block for sale,Rue Puits-en-Sock 138,"€299,000",6 bedrooms | 183 m² ,6 bedrooms,No,Installed,Good,598 m² ,Yes
House for sale,Grand Rue 38,"€299,000",8 bedrooms | 788 m² ,8 bedrooms,No,Semi equipped,To be done up,1873 m² ,No
Mansion for sale,Opgeëistenstraat 56,"€299,000",5 bedrooms | 258 m² ,5 bedrooms,No,Installed,As new,1873 m² ,No
Woonproject Zittaart Fase 1 en 2,Koepoortstraat 21,"€305,000",3 bedrooms | 140 - 155 m² ,3 bedrooms,No,Installed,As new,1873 m² ,No
House for sale,Rimière 37 A,"€310,000",3 bedrooms | 108 m² ,3 bedrooms,No,Installed,To be done up,2730 m² ,No
SINJAN,Jan van Droogenbroeckstraat 55,"€315,000",2 - 3 bedrooms | 80 - 170 m² ,2 - 3 bedrooms,No,Installed,To be done up,2730 m² ,No
Woningen Op't Zand,Op 't Zand 40,"€320,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,To be done up,2730 m² ,No
THIER DES SOTAIS,Rue aux Deux Croix 3,"€324,000",4 bedrooms | 170 m² ,4 bedrooms,No,Installed,To be done up,2730 m² ,No
House for sale,Korenbloemweg 25,"€325,000",3 bedrooms | 122 m² ,3 bedrooms,No,Semi equipped,Good,130 m² ,No
Hof Berlaere - Woningen,Stationsstraat 33,"€325,000",2 - 3 bedrooms | 118 - 156 m² ,2 - 3 bedrooms,No,Semi equipped,Good,130 m² ,No
Basalt - nieuwbouwwoningen,Melkerijstraat,"€329,000",3 bedrooms | 176 - 201 m² ,3 bedrooms,No,Semi equipped,Good,130 m² ,No
House for sale,Stenenmolenstraat 42,"€330,000",4 bedrooms | 159 m² ,4 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
New real estate project - Houses for sale,Kloosteraprilstraat,"€330,500",3 bedrooms | 122 - 149 m² ,3 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
Stellar - Maisons,chaussée de Wavre 109,"€330,850",3 bedrooms | 150 - 169 m² ,3 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
Heibloem - BEN woningen te Nijlen,Heibloemstraat 88,"€333,000",3 bedrooms | 196 - 207 m² ,3 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
"""Les Maisons de la Ferme",Rue de Géronsart 280,"€335,000",2 bedrooms | 166 m² ,2 bedrooms,No,Hyper equipped,To be done up,130 m² ,No
House for sale,Hermes Van Wynghenestraat 49,"€335,000",4 bedrooms | 190 m² ,4 bedrooms,No,Hyper equipped,As new,230 m² ,No
Woonproject te Paddenweg Lier - BEN woningen,Paddenweg,"€336,000",3 - 4 bedrooms | 162 - 228 m² ,3 - 4 bedrooms,No,Hyper equipped,As new,230 m² ,No
Woonproject Diamant te Herenthout - Woningen,Molenstraat,"€339,000",3 bedrooms | 192 - 194 m² ,3 bedrooms,No,Hyper equipped,As new,230 m² ,No
House for sale,Harensesteenweg 189,"€340,000",3 bedrooms | 135 m² ,3 bedrooms,No,Hyper equipped,Good,95 m² ,No
House for sale,Rue Jean Severijns 10,"€345,000",4 bedrooms | 128 m² ,4 bedrooms,No,Installed,As new,800 m² ,No
Parkview - Woningen,Astridlaan 192-194,"€346,000",3 bedrooms | 136 - 137 m² ,3 bedrooms,No,Installed,As new,800 m² ,No
Woningen Lijsterweg,Lijsterweg 3,"€347,000",3 bedrooms | 173 - 198 m² ,3 bedrooms,No,Installed,As new,800 m² ,No
Bungalow for sale,Rue Jean Schinler 12,"€349,000",3 bedrooms | 180 m² ,3 bedrooms,No,Semi equipped,As new,850 m² ,No
House for sale,Chemin de Botister 4,"€349,000",4 bedrooms | 190 m² ,4 bedrooms,No,Installed,Good,440 m² ,No
House for sale,Rue Guillaume de Bleret 2,"€350,000",5 bedrooms | 195 m² ,5 bedrooms,No,Installed,As new,903 m² ,No
House for sale,Rue de l'Instruction 139,"€365,000",3 bedrooms | 190 m² ,3 bedrooms,No,USA hyper equipped,Good,903 m² ,No
Residentie Zuidkwartier - Woningen,Ivo Cornelisstraat,"€368,000",3 bedrooms | 155 m² ,3 bedrooms,No,USA hyper equipped,Good,903 m² ,No
New real estate project - Houses for sale,Ivo Cornelisstraat 48,"€368,000",3 bedrooms | 155 m² ,3 bedrooms,No,USA hyper equipped,Good,903 m² ,No
House for sale,Avenue Leon Grosjean 23,"€369,000",3 bedrooms | 176 m² ,3 bedrooms,No,Semi equipped,To renovate,88 m² ,No
House for sale,Rue de Recogne 30,"€369,000",6 bedrooms | 300 m² ,6 bedrooms,No,Not installed,Good,2200 m² ,No
Chapelle Sainte-Anne,Rue Chapelle Sainte Anne,"€371,000",3 bedrooms | 172 m² ,3 bedrooms,No,Not installed,Good,2200 m² ,No
Exceptional property for sale,1050 — Ixelles,"€2,750",6 bedrooms | 668 m² ,6 bedrooms,No,Hyper equipped,As new,500 m² ,No
House for sale,1050 — Ixelles,"€570,000",5 bedrooms | 185 m² ,5 bedrooms,No,Installed,To be done up,500 m² ,No
Apartment for sale,Markt 132 Box 4,"€215,000",2 bedrooms | 89 m² ,2 bedrooms,No,Installed,Just renovated,500 m² ,No
Apartment for sale,Rue des Colombières 12 Box 21,"€264,000",3 bedrooms | 115 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
