Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Villa for sale,Prins Karellaan 13,"€1,650",4 bedrooms | 499 m² ,4 bedrooms,No,Hyper equipped,As new,450 m² ,No
House for sale,Lembergsesteenweg 67 Box lot 2,"€419,000",3 bedrooms | 188 m² ,3 bedrooms,No,Hyper equipped,As new,330 m² ,No
House for sale,Lembergsesteenweg 67 Box lot 1,"€459,000",3 bedrooms | 164 m² ,3 bedrooms,No,Hyper equipped,As new,341 m² ,No
House for sale,Ruelle Hierby 17,"€149,000",2 bedrooms | 134 m² ,2 bedrooms,No,Installed,Good,300 m² ,No
House for sale,Rue Petite Voie 176,"€149,000",5 bedrooms | 198 m² ,5 bedrooms,No,Semi equipped,To be done up,147 m² ,No
House for sale,Rue Pierre Curie 107,"€149,000",2 bedrooms | 80 m² ,2 bedrooms,No,Not installed,Good,147 m² ,No
House for sale,Blauwesteen 187,"€159,000",2 bedrooms | 155 m² ,2 bedrooms,No,Semi equipped,To renovate,50 m² ,No
House for sale,Rue de L'Eglise 18,"€219,000",5 bedrooms | 278 m² ,5 bedrooms,No,Not installed,To renovate,1092 m² ,No
House for sale,Kruisstraat 91,"€139,000",3 bedrooms | 112 m² ,3 bedrooms,No,Installed,To be done up,23 m² ,No
House for sale,Stooktstraat 70,"€239,000",3 bedrooms | 150 m² ,3 bedrooms,No,Hyper equipped,Just renovated,250 m² ,No
Quartier du Bailou - Maisons,4837 — Baelen,"€295,000",3 bedrooms | 188 - 236 m² ,3 bedrooms,No,Hyper equipped,Just renovated,250 m² ,No
House for sale,Rue Cyrille Bauwens 35,"€345,000",3 bedrooms | 115 m² ,3 bedrooms,No,Semi equipped,To be done up,700 m² ,No
House for sale,Rue Vankeerberghen 23,"€125,000",3 bedrooms | 100 m² ,3 bedrooms,No,Semi equipped,Good,700 m² ,No
House for sale,Koning Albert I-straat 130,"€379,000",4 bedrooms | 210 m² ,4 bedrooms,No,Installed,Just renovated,320 m² ,No
House for sale,Rue de la Roche Fatale 74,"€545,000",3 bedrooms | 165 m² ,3 bedrooms,No,USA installed,As new,50 m² ,No
House for sale,Hugo Verrieststraat 6,"€262,500",3 bedrooms | 130 m² ,3 bedrooms,No,Installed,Good,50 m² ,No
House for sale,Pompoenstraat 14,"€335,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,Just renovated,50 m² ,No
House for sale,Rue Sondeville 29,"€279,000",4 bedrooms | 163 m² ,4 bedrooms,No,Not installed,To be done up,1900 m² ,No
Apartment block for sale,Rue de Hermee 48,"€299,000",4 bedrooms | 177 m² ,4 bedrooms,No,Installed,Good,369 m² ,No
