Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Villa for sale,Rue Jean Jaurès 80,"€220,000",3 bedrooms | 176 m² ,3 bedrooms,No,Installed,To be done up,540 m² ,No
House for sale,Statiestraat 23,"€225,000",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,To renovate,180 m² ,No
Mixed-use building for sale,Renier Sniedersstraat 11,"€229,000",4 bedrooms | 438 m² ,4 bedrooms,No,Installed,To renovate,180 m² ,No
House for sale,Rue Royale 33,"€229,000",3 bedrooms | 159 m² ,3 bedrooms,No,Hyper equipped,As new,180 m² ,No
House for sale,Nieuwerkerken-dorp 86,"€229,000",3 bedrooms,3 bedrooms,No,Hyper equipped,To renovate,180 m² ,No
House for sale,Gereedstraat 19,"€229,500",2 bedrooms | 102 m² ,2 bedrooms,No,USA hyper equipped,Good,180 m² ,No
House for sale,4040 — Herstal,"€230,000",2 bedrooms | 119 m² ,2 bedrooms,No,Installed,Good,108 m² ,No
House for sale,Turnhoutsebaan 219 A,"€239,000",3 bedrooms | 185 m² ,3 bedrooms,No,Installed,Good,108 m² ,No
House for sale,Werfplein 20,"€239,000",4 bedrooms | 124 m² ,4 bedrooms,No,Installed,Good,108 m² ,No
Villa for sale,6230 — Pont-à-Celles Viesville,"€240,000",2 bedrooms | 120 m² ,2 bedrooms,No,USA installed,Good,500 m² ,No
House for sale,"Molenstraat 103,","€247,000",3 bedrooms | 180 m² ,3 bedrooms,No,USA installed,Good,500 m² ,No
Mansion for sale,Torhoutsesteenweg 49,"€249,000",5 bedrooms | 323 m² ,5 bedrooms,No,USA installed,To be done up,500 m² ,No
House for sale,7070 — Le Roeulx Thieu,"€250,000",5 bedrooms | 248 m² ,5 bedrooms,No,Installed,As new,500 m² ,No
House for sale,Koolkerkse Steenweg 145,"€250,000",3 bedrooms | 69 m² ,3 bedrooms,No,Installed,As new,500 m² ,No
Town-house for sale,"Stationsstraat 45,","€250,000",2 bedrooms | 114 m² ,2 bedrooms,No,Installed,Good,40 m² ,No
House for sale,Houwaartstraat 189,"€255,000",3 bedrooms | 233 m² ,3 bedrooms,No,Installed,To renovate,40 m² ,No
House for sale,Chaussée Paul Houtart 34,"€255,000",3 bedrooms | 217 m² ,3 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,1070 — Anderlecht,"€259,000",5 bedrooms | 195 m² ,5 bedrooms,No,Not installed,Good,40 m² ,No
House for sale,Avenue Joseph Merlot 174,"€259,000",4 bedrooms | 160 m² ,4 bedrooms,No,Not installed,Good,260 m² ,No
House for sale,8620 — Nieuwpoort,"€259,000",4 bedrooms | 146 m² ,4 bedrooms,No,Not installed,To be done up,260 m² ,No
House for sale,5100 — Jambes,"€260,000",4 bedrooms | 148 m² ,4 bedrooms,No,Not installed,To be done up,260 m² ,No
House for sale,"Koffiestraat 33,","€260,000",4 bedrooms | 136 m² ,4 bedrooms,No,Installed,Good,260 m² ,No
House for sale,"Brugsesteenweg 105,","€265,000",3 bedrooms | 170 m² ,3 bedrooms,No,Installed,Good,260 m² ,No
House for sale,Rue du Baron d'Obin 173,"€268,000",4 bedrooms,4 bedrooms,No,Installed,Good,260 m² ,No
House for sale,Brusselsesteenweg 19,"€269,000",2 bedrooms | 270 m² ,2 bedrooms,No,Installed,Good,260 m² ,No
Mixed-use building for sale,Rue du Village 130,"€275,000",2 bedrooms | 130 m² ,2 bedrooms,No,Installed,Good,260 m² ,No
House for sale,Populierenstraat 8,"€278,000",3 bedrooms,3 bedrooms,No,Installed,As new,260 m² ,No
House for sale,Rue du Pont-Neuf 25,"€279,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,As new,260 m² ,No
House for sale,Rue du Pont-Neuf 25,"€279,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,As new,260 m² ,No
Apartment block for sale,Jan Bijlstraat 2,"€279,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,As new,260 m² ,No
House for sale,Rue Benjamin Lebrun 19,"€280,000",4 bedrooms,4 bedrooms,No,Installed,Good,125 m² ,No
Town-house for sale,Hendrik Consciencestraat 3B,"€280,000",3 bedrooms | 141 m² ,3 bedrooms,No,Installed,Good,125 m² ,No
House for sale,Manchesterstraat 33 Box 35,"€280,000",5 bedrooms | 181 m² ,5 bedrooms,No,Installed,Good,125 m² ,No
Apartment block for sale,Manchesterstraat 33 Box 35,"€280,000",5 bedrooms | 181 m² ,5 bedrooms,No,Installed,Good,125 m² ,No
House for sale,Hofstade-Dorp 18,"€280,000",5 bedrooms,5 bedrooms,No,Installed,To be done up,125 m² ,No
House for sale,Sint-Annastraat 22 LOT 2,"€281,698",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,To be done up,125 m² ,No
Mixed-use building for sale,Bergensesteenweg 580,"€285,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,To be done up,125 m² ,No
Mixed-use building for sale,Ring 3,"€285,000",3 bedrooms,3 bedrooms,No,Installed,To be done up,125 m² ,No
Country house for sale,Rue du Val de Maulde 36,"€289,000",3 bedrooms | 187 m² ,3 bedrooms,No,Installed,Good,125 m² ,No
Farmhouse for sale,Hegge 103,"€290,000",2 bedrooms | 270 m² ,2 bedrooms,No,Installed,Good,125 m² ,No
House for sale,Winkselsesteenweg 15,"€290,000",2 bedrooms,2 bedrooms,No,Installed,Good,125 m² ,No
Mixed-use building for sale,rue des Clarisses 8,"€290,000",3 bedrooms,3 bedrooms,No,Installed,Good,125 m² ,No
House for sale,7500 — Tournai,"€290,000",5 bedrooms | 266 m² ,5 bedrooms,No,Semi equipped,Good,125 m² ,No
Mixed-use building for sale,Tolhuisweg 2,"€294,000",2 bedrooms | 90 m² ,2 bedrooms,No,Semi equipped,Good,125 m² ,No
Villa for sale,7330 — Saint-Ghislain,"€295,000",3 bedrooms,3 bedrooms,No,Installed,Good,125 m² ,No
House for sale,"Disgracht 60,","€295,000",3 bedrooms,3 bedrooms,No,Installed,Good,125 m² ,No
House for sale,Tulpenstraat 1 Box lot 2,"€295,000",3 bedrooms | 165 m² ,3 bedrooms,No,Installed,Good,125 m² ,No
House for sale,Sterstraat 16,"€299,000",3 bedrooms | 160 m² ,3 bedrooms,No,Installed,Just renovated,125 m² ,No
House for sale,Kapellestraat 7,"€299,000",3 bedrooms | 190 m² ,3 bedrooms,No,Not installed,To renovate,604 m² ,Yes
House for sale,Zwalmlaan 38,"€299,000",3 bedrooms | 210 m² ,3 bedrooms,No,Not installed,To be done up,604 m² ,No
Villa for sale,Clos du Versant 8,"€300,000",4 bedrooms,4 bedrooms,No,Not installed,To be done up,604 m² ,No
House for sale,Heybleukenstraat 42,"€300,000",3 bedrooms | 153 m² ,3 bedrooms,No,Not installed,To be done up,604 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Not installed,To be done up,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Not installed,To be done up,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Not installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Stefaan Glorieuxlaan 32,"€309,000",3 bedrooms | 151 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,"Jubellaan 8,","€310,000",4 bedrooms,4 bedrooms,No,USA hyper equipped,Good,751 m² ,No
House for sale,7370 — Dour,"€310,000",6 bedrooms | 310 m² ,6 bedrooms,No,Hyper equipped,Good,751 m² ,No
House for sale,Bovenhoekstraat 19,"€310,000",3 bedrooms | 159 m² ,3 bedrooms,No,Hyper equipped,Good,751 m² ,No
House for sale,Schansstraat 145,"€313,000",2 bedrooms | 126 m² ,2 bedrooms,No,Hyper equipped,To renovate,751 m² ,No
House for sale,Lombeeksestraat 4,"€315,000",3 bedrooms | 135 m² ,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,"Roeselaarsestraat 33,","€315,000",2 bedrooms,2 bedrooms,No,Installed,Good,82 m² ,No
House for sale,Rue de Voroux 28,"€316,000",4 bedrooms,4 bedrooms,No,Installed,Good,82 m² ,No
House for sale,"Molenstraat 105,","€318,000",3 bedrooms | 200 m² ,3 bedrooms,No,Installed,Good,82 m² ,No
House for sale,"Vorkstraat 14,","€319,000",3 bedrooms | 125 m² ,3 bedrooms,No,Installed,Good,30 m² ,No
House for sale,Reihagenstraat 19,"€319,000",3 bedrooms | 270 m² ,3 bedrooms,No,Installed,To be done up,30 m² ,No
House for sale,"Klipperstraat 39,","€320,000",4 bedrooms | 149 m² ,4 bedrooms,No,Installed,Good,30 m² ,No
House for sale,Rue du Geer 12,"€322,000",4 bedrooms | 144 m² ,4 bedrooms,No,Installed,Good,774 m² ,No
Villa for sale,Rue Emile Bronchain 56,"€325,000",5 bedrooms | 228 m² ,5 bedrooms,No,Installed,Good,774 m² ,No
Mixed-use building for sale,Grand Rue 46,"€325,000",3 bedrooms | 452 m² ,3 bedrooms,No,Installed,To be done up,600 m² ,No
House for sale,Steensedijk 571 Box 2,"€325,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,As new,600 m² ,No
House for sale,Steensedijk 571 Box 3,"€325,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,As new,600 m² ,No
House for sale,2800 — Mechelen,"€329,000",4 bedrooms | 176 m² ,4 bedrooms,No,Installed,As new,600 m² ,No
House for sale,"Oliekouterstraat 3,","€329,000",6 bedrooms | 309 m² ,6 bedrooms,No,Installed,Good,600 m² ,No
House for sale,"Elenestraat 305,","€329,500",2 bedrooms,2 bedrooms,No,Installed,To be done up,600 m² ,No
Exceptional property for sale,IJzerlaan 28A,"€339,000",3 bedrooms | 139 m² ,3 bedrooms,No,Installed,As new,24 m² ,No
House for sale,Sint-Aarnoutstraat 4,"€345,000",4 bedrooms | 129 m² ,4 bedrooms,No,Installed,As new,24 m² ,No
Villa for sale,1410 — Waterloo,"€348,000",2 bedrooms | 150 m² ,2 bedrooms,No,Installed,To be done up,24 m² ,No
Apartment block for sale,Bergense Steenweg 1035,"€349,000",1 bedroom | 138 m² ,1 bedroom,No,Semi equipped,As new,24 m² ,No
House for sale,1410 — Waterloo,"€349,000",2 bedrooms | 105 m² ,2 bedrooms,No,Installed,To renovate,24 m² ,No
House for sale,Hoogstraat 37,"€349,000",3 bedrooms,3 bedrooms,No,USA hyper equipped,Good,24 m² ,No
House for sale,Gistelse Steenweg 572,"€349,000",4 bedrooms | 165 m² ,4 bedrooms,No,USA hyper equipped,Good,24 m² ,No
Villa for sale,Chemin Vert 28,"€350,000",3 bedrooms,3 bedrooms,No,Installed,Good,24 m² ,No
House for sale,Koksijdesteenweg 27,"€350,000",4 bedrooms | 188 m² ,4 bedrooms,No,Installed,To renovate,24 m² ,No
Apartment block for sale,De Villegas de Clercampstraat 17 Box 0,"€365,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,To renovate,24 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,To renovate,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,To renovate,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Pieter Baesstraat 17,"€365,000",3 bedrooms | 236 m² ,3 bedrooms,No,Installed,As new,751 m² ,Yes
House for sale,Koningin Astridstraat 27,"€375,000",4 bedrooms | 320 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
Mixed-use building for sale,Bredestraat 34,"€379,000",3 bedrooms | 182 m² ,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,1930 — Zaventem,"€389,000",3 bedrooms | 142 m² ,3 bedrooms,No,Installed,Just renovated,380 m² ,No
House for sale,5372 — Havelange Méan,"€390,000",5 bedrooms | 266 m² ,5 bedrooms,No,Installed,Good,380 m² ,No
House for sale,1420 — Braine-l'Alleud,"€395,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,Good,380 m² ,No
House for sale,Hagenbroeksesteenweg 82,"€395,000",3 bedrooms,3 bedrooms,No,Installed,Good,80 m² ,No
House for sale,Eeklostraat 59,"€395,000",2 bedrooms | 160 m² ,2 bedrooms,No,Semi equipped,To renovate,80 m² ,No
House for sale,1640 — Rhode-Saint-Genese,"€398,000",2 bedrooms | 145 m² ,2 bedrooms,No,Installed,Good,80 m² ,No
Mixed-use building for sale,1310 — La Hulpe,"€399,000",2 bedrooms | 195 m² ,2 bedrooms,No,Hyper equipped,Good,80 m² ,No
House for sale,1420 — Braine-l'Alleud,"€399,000",3 bedrooms | 110 m² ,3 bedrooms,No,Hyper equipped,As new,80 m² ,No
House for sale,5590 — Ciney,"€399,000",4 bedrooms | 140 m² ,4 bedrooms,No,USA hyper equipped,As new,80 m² ,No
House for sale,Bollemeersstraat 21 Box A,"€399,000",4 bedrooms,4 bedrooms,No,Installed,As new,40 m² ,No
House for sale,Arme Kleie 3A,"€410,000",3 bedrooms | 251 m² ,3 bedrooms,No,Installed,As new,40 m² ,No
House for sale,Rodeheide 104 Box b,"€424,450",3 bedrooms | 266 m² ,3 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,Rodeheide 104 Box a,"€424,450",3 bedrooms | 266 m² ,3 bedrooms,No,Hyper equipped,As new,40 m² ,No
House for sale,Piepelboomstraat 78 Box -,"€425,000",4 bedrooms | 133 m² ,4 bedrooms,No,Installed,As new,677 m² ,No
Villa for sale,Manitobalaan 44,"€429,500",2 bedrooms | 160 m² ,2 bedrooms,No,Installed,As new,677 m² ,No
House for sale,Steenweg 120,"€430,000",5 bedrooms | 394 m² ,5 bedrooms,No,Hyper equipped,As new,677 m² ,No
Villa for sale,1410 — Waterloo,"€435,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,Good,677 m² ,No
House for sale,4000 — Liege,"€439,000",5 bedrooms | 327 m² ,5 bedrooms,No,Installed,Good,677 m² ,No
House for sale,RUE DE LA LAITERIE 57,"€449,000",3 bedrooms | 280 m² ,3 bedrooms,No,USA semi equipped,As new,677 m² ,No
House for sale,"Kerselarenlaan 31,","€450,000",3 bedrooms | 145 m² ,3 bedrooms,No,USA semi equipped,As new,677 m² ,No
House for sale,Wersbeekstraat 7,"€459,000",3 bedrooms | 160 m² ,3 bedrooms,No,USA semi equipped,As new,677 m² ,No
Apartment block for sale,Amercoeur 75,"€460,000",5 bedrooms | 245 m² ,5 bedrooms,No,USA semi equipped,To be done up,677 m² ,No
House for sale,1420 — Braine-l'Alleud,"€475,000",4 bedrooms | 142 m² ,4 bedrooms,No,Installed,Good,677 m² ,No
House for sale,Haantjeslei 107,"€475,000",3 bedrooms,3 bedrooms,No,Semi equipped,As new,136 m² ,No
Villa for sale,1310 — La Hulpe,"€479,000",5 bedrooms | 150 m² ,5 bedrooms,No,Semi equipped,To be done up,136 m² ,No
House for sale,Voordries 16,"€480,000",4 bedrooms | 180 m² ,4 bedrooms,No,Hyper equipped,As new,1 m² square meter,No
Country house for sale,Rue de la Croisette 17,"€489,000",3 bedrooms | 220 m² ,3 bedrooms,No,USA installed,As new,1 m² square meter,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,USA installed,As new,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,USA installed,As new,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,USA installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Stoepestraat 37,"€492,000",3 bedrooms | 210 m² ,3 bedrooms,No,Semi equipped,As new,751 m² ,No
House for sale,1410 — Waterloo,"€495,000",4 bedrooms | 159 m² ,4 bedrooms,No,Hyper equipped,As new,751 m² ,No
House for sale,1410 — Waterloo,"€495,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,As new,751 m² ,No
Apartment block for sale,7120 — ESTINNES-AU-VAL,"€495,000",3 bedrooms,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,7120 — ESTINNES-AU-VAL,"€495,000",3 bedrooms,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,Zilversparrenstraat 15,"€499,000",5 bedrooms | 245 m² ,5 bedrooms,No,Installed,As new,751 m² ,No
Villa for sale,1410 — Waterloo,"€515,000",3 bedrooms | 187 m² ,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,Wakkerzeelsebaan 129,"€525,000",4 bedrooms | 251 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
Apartment block for sale,1080 — Molenbeek-St-Jean,"€550,000",2 bedrooms | 519 m² ,2 bedrooms,No,Installed,To renovate,751 m² ,No
House for sale,1180 — Uccle,"€565,000",4 bedrooms | 161 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
House for sale,"Bruggestraat 586,","€565,000",4 bedrooms | 250 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
Villa for sale,1380 — Lasne,"€595,000",4 bedrooms | 185 m² ,4 bedrooms,No,Installed,To be done up,751 m² ,No
Town-house for sale,2020 — Antwerp 2,"€595,000",4 bedrooms | 236 m² ,4 bedrooms,No,Semi equipped,To be done up,751 m² ,No
Villa for sale,1420 — Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,"€620,000",5 bedrooms | 210 m² ,5 bedrooms,No,Hyper equipped,As new,751 m² ,No
Mixed-use building for sale,Poederleesteenweg 108,"€625,000",4 bedrooms | 615 m² ,4 bedrooms,No,Hyper equipped,Good,2500 m² ,No
Villa for sale,Houwaartsebaan 51 Box B,"€630,000",5 bedrooms | 265 m² ,5 bedrooms,No,Installed,Good,2500 m² ,No
Exceptional property for sale,Selderijstraat 9,"€649,000",3 bedrooms | 189 m² ,3 bedrooms,No,Installed,As new,2500 m² ,No
House for sale,Chaussee de Maubeuge 527,"€649,000",5 bedrooms,5 bedrooms,No,Semi equipped,To renovate,250 m² ,No
Exceptional property for sale,Chaussee de Maubeuge 527,"€649,000",5 bedrooms,5 bedrooms,No,Semi equipped,To renovate,250 m² ,No
Villa for sale,1850 — Grimbergen,"€675,000",4 bedrooms | 270 m² ,4 bedrooms,No,Hyper equipped,As new,250 m² ,Yes
House for sale,"Brusselsepoortstraat 36,","€695,000",4 bedrooms | 235 m² ,4 bedrooms,No,Hyper equipped,To be done up,250 m² ,Yes
Mixed-use building for sale,Sint Pietersplein - Place Saint Pierre 8,"€698,000",1 bedroom | 550 m² ,1 bedroom,No,Hyper equipped,Good,250 m² ,Yes
House for sale,2018 — Antwerp,"€698,000",4 bedrooms | 211 m² ,4 bedrooms,No,USA hyper equipped,Good,250 m² ,Yes
Villa for sale,1500 — Halle,"€699,000",6 bedrooms | 360 m² ,6 bedrooms,No,Hyper equipped,Good,250 m² ,Yes
Villa for sale,1410 — Waterloo,"€720,000",4 bedrooms | 171 m² ,4 bedrooms,No,Hyper equipped,Good,250 m² ,Yes
House for sale,Rue du Pesage 10,"€750,000",11 bedrooms | 370 m² ,11 bedrooms,No,Installed,Good,70 m² ,Yes
House for sale,5620 — Florennes,"€775,000",7 bedrooms | 1400 m² ,7 bedrooms,No,Installed,Good,10700 m² ,Yes
House for sale,De Judestraat 35,"€795,000",3 bedrooms,3 bedrooms,Yes,Hyper equipped,As new,10700 m² ,Yes
Exceptional property for sale,4000 — Liège,"€850,000",4 bedrooms | 334 m² ,4 bedrooms,No,Hyper equipped,As new,30 m² ,Yes
Mansion for sale,4000 — Liège,"€850,000",4 bedrooms | 334 m² ,4 bedrooms,No,Hyper equipped,As new,30 m² ,Yes
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Hyper equipped,As new,900 m² ,Yes
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Hyper equipped,Good,751 m² ,Yes
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,Yes
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Dorpsstraat 150,"€895,000",3 bedrooms | 265 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Villa for sale,J. Bt. Dekeyserstraat 25,"€950,000",4 bedrooms | 186 m² ,4 bedrooms,No,Hyper equipped,As new,751 m² ,No
Exceptional property for sale,3130 — Begijnendijk,"€995,000",4 bedrooms | 542 m² ,4 bedrooms,No,Hyper equipped,Good,14000 m² ,Yes
Villa for sale,Molenstraat 60,"€995,000",5 bedrooms | 1265 m² ,5 bedrooms,No,Hyper equipped,To renovate,14000 m² ,Yes
House for sale,Pastoor Bolsstraat 19,"€1,050",4 bedrooms | 622 m² ,4 bedrooms,No,Hyper equipped,Good,14000 m² ,No
Villa for sale,Warande 10,"€1,090",3 bedrooms | 663 m² ,3 bedrooms,No,Installed,As new,14000 m² ,No
Apartment block for sale,Franklin Rooseveltlaan 504/ABCD,"€1,095",5 bedrooms | 240 m² ,5 bedrooms,No,Installed,As new,14000 m² ,No
Villa for sale,Villa aan de Leie 1000 Box B,"€1,100",3 bedrooms | 260 m² ,3 bedrooms,No,Installed,As new,14000 m² ,Yes
Villa for sale,Zonstraat 32,"€1,245",5 bedrooms | 578 m² ,5 bedrooms,No,Installed,Good,14000 m² ,No
Villa for sale,6780 — Messancy,"€1,250",5 bedrooms | 341 m² ,5 bedrooms,No,USA hyper equipped,As new,14000 m² ,No
House for sale,6780 — Messancy,"€1,250",5 bedrooms | 341 m² ,5 bedrooms,No,USA hyper equipped,As new,14000 m² ,No
Villa for sale,2970 — Schilde,"€1,374",4 bedrooms | 450 m² ,4 bedrooms,No,USA hyper equipped,Just renovated,14000 m² ,No
Country house for sale,Ouwegemstraat 13,"€1,495",6 bedrooms | 552 m² ,6 bedrooms,No,Installed,Just renovated,14000 m² ,No
Villa for sale,1420 — Braine-l'Alleud,"€1,500",4 bedrooms | 280 m² ,4 bedrooms,No,Hyper equipped,As new,1950 m² ,No
House for sale,Avenue Henri Jaspar 102,"€1,600",5 bedrooms,5 bedrooms,Yes,Hyper equipped,As new,1950 m² ,No
Exceptional property for sale,Vlasmarkt 12,"€1,750",4 bedrooms | 548 m² ,4 bedrooms,Yes,Semi equipped,As new,1950 m² ,No
Villa for sale,9700 — Oudenaarde,"€1,850",5 bedrooms | 837 m² ,5 bedrooms,No,Semi equipped,As new,1950 m² ,No
Villa for sale,9700 — Oudenaarde,"€1,850",5 bedrooms | 837 m² ,5 bedrooms,No,Semi equipped,As new,1950 m² ,No
Exceptional property for sale,7133 — Binche Buvrinnes,"€1,900",8 bedrooms | 1500 m² ,8 bedrooms,No,Installed,To be done up,29500 m² ,No
Apartment block for sale,1000 — Bruxelles,"€1,950",5 bedrooms | 515 m² ,5 bedrooms,No,Installed,As new,29500 m² ,No
Apartment block for sale,1150 — Woluwe-Saint-Pierre,"€1,950",5 bedrooms | 515 m² ,5 bedrooms,No,Installed,As new,29500 m² ,No
Mixed-use building for sale,1070 — Anderlecht,"€2,350",None,200050 m² square meters of land,No,Installed,As new,29500 m² ,No
House for sale,2018 — Antwerp,"€2,450",7 bedrooms | 592 m² ,7 bedrooms,No,Installed,As new,29500 m² ,No
Villa for sale,2950 — Kapellen,"€2,500",5 bedrooms | 750 m² ,5 bedrooms,No,Installed,As new,29500 m² ,No
Exceptional property for sale,1380 — Lasne,"€2,750",7 bedrooms | 680 m² ,7 bedrooms,No,Hyper equipped,As new,29500 m² ,Yes
House for sale,Rozenlaan 42,"€295,000",3 bedrooms | 170 m² ,3 bedrooms,No,Hyper equipped,To be done up,350 m² ,Yes
House for sale,Raspaillebosstraat 63,"€295,000",3 bedrooms | 126 m² ,3 bedrooms,No,Installed,To be done up,1005 m² ,No
House for sale,7500 — Tournai,"€395,000",4 bedrooms | 250 m² ,4 bedrooms,No,Installed,Good,100 m² ,No
Villa for sale,7060 — Soignies,"€425,000",4 bedrooms | 240 m² ,4 bedrooms,No,Hyper equipped,As new,270 m² ,No
House for sale,7540 — Kain,"€635,000",5 bedrooms | 233 m² ,5 bedrooms,No,Installed,Good,4000 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,Good,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,Good,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
