Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Exceptional property for sale,Rue Louis Mestrez 1,"€150,000",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,6000 m² ,No
House for sale,Arendsveld 45,"€265,000",2 bedrooms | 163 m² ,2 bedrooms,No,Hyper equipped,As new,6000 m² ,No
House for sale,6230 — Pont-à-Celles,"€295,000",4 bedrooms | 180 m² ,4 bedrooms,No,USA hyper equipped,Good,200 m² ,No
House for sale,Gidsenlaan 2,"€399,000",2 bedrooms | 155 m² ,2 bedrooms,No,Hyper equipped,Good,200 m² ,No
Mansion for sale,Generaal Van Merlenstraat 18,"€500,000",8 bedrooms,8 bedrooms,No,Hyper equipped,Good,200 m² ,No
Villa for sale,"Dianadreef 9,","€875,000",6 bedrooms,6 bedrooms,No,Hyper equipped,Good,200 m² ,No
House for sale,Fort Lapin 27,"€995,000",5 bedrooms,5 bedrooms,No,Hyper equipped,Good,200 m² ,No
House for sale,Alfons sifferstraat 43,"€135,000",3 bedrooms,3 bedrooms,No,Hyper equipped,Good,200 m² ,No
House for sale,Rue Sainte-Aldegonde 7,"€190,000",3 bedrooms | 155 m² ,3 bedrooms,No,USA installed,As new,100 m² ,No
House for sale,Kapucijnenlaan 12,"€258,500",3 bedrooms | 165 m² ,3 bedrooms,No,USA installed,Good,100 m² ,No
House for sale,Koksijdeweg 50,"€325,000",3 bedrooms,3 bedrooms,No,USA installed,To renovate,100 m² ,No
House for sale,Val Villers 41 Box 0,"€450,000",4 bedrooms | 155 m² ,4 bedrooms,No,Installed,To renovate,3 m² ,No
Mixed-use building for sale,1490 — COURT-SAINT-?TIENNE,"€625,000",2 bedrooms | 301 m² ,2 bedrooms,No,USA hyper equipped,To renovate,3 m² ,No
Apartment block for sale,1082 — BERCHEM-SAINTE-AGATHE,"€790,000",220 m² ,220 m² square meters livable space,No,Not installed,To renovate,3 m² ,No
Villa for sale,9960 — Assenede,"€895,000",11 bedrooms,11 bedrooms,No,Installed,As new,3 m² ,No
House for sale,7110 — La Louvière Maurage,"€225,000",3 bedrooms | 173 m² ,3 bedrooms,No,Hyper equipped,Just renovated,145 m² ,No
House for sale,Jules Leroystraat 2,"€251,016",3 bedrooms | 139 m² ,3 bedrooms,No,Hyper equipped,Just renovated,145 m² ,No
House for sale,8570 — INGOOIGEM,"€256,000",3 bedrooms | 175 m² ,3 bedrooms,No,Hyper equipped,Just renovated,145 m² ,No
House for sale,Kantonstraat 69,"€259,000",3 bedrooms | 125 m² ,3 bedrooms,No,Semi equipped,Just renovated,145 m² ,No
House for sale,8630 — Booitshoeke,"€725,000",3 bedrooms | 274 m² ,3 bedrooms,No,Hyper equipped,As new,145 m² ,No
House for sale,Kerkstraat 102,"€90,000",2 bedrooms,2 bedrooms,No,Hyper equipped,As new,145 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Hyper equipped,As new,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Hyper equipped,As new,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Hyper equipped,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,8790 — Waregem,"€199,000",3 bedrooms | 126 m² ,3 bedrooms,No,USA hyper equipped,To renovate,193 m² ,Yes
House for sale,3118 — Rotselaar,"€495,000",3 bedrooms | 202 m² ,3 bedrooms,No,Hyper equipped,Just renovated,600 m² ,No
House for sale,Rue Foxhalle 1-3-5,"€10,000",6 bedrooms,6 bedrooms,No,Hyper equipped,Just renovated,600 m² ,No
House for sale,Allee des Faisans 16,"€25,000",1 bedroom | 61 m² ,1 bedroom,No,Hyper equipped,To renovate,600 m² ,No
House for sale,Cour Neuville 6,"€35,000",1 bedroom,1 bedroom,No,Hyper equipped,To renovate,600 m² ,No
House for sale,Rue Jules Tison 30,"€40,000",3 bedrooms,3 bedrooms,No,Hyper equipped,To renovate,600 m² ,No
House for sale,Rue des Groseilliers 32,"€50,000",2 bedrooms | 70 m² ,2 bedrooms,No,Semi equipped,To renovate,600 m² ,No
House for sale,Buisstraat 61,"€50,000",3 bedrooms | 75 m² ,3 bedrooms,No,Semi equipped,To renovate,600 m² ,No
House for sale,rue de la Xhavée 71,"€60,000",2 bedrooms | 76 m² ,2 bedrooms,No,Semi equipped,To renovate,600 m² ,No
House for sale,7130 — Binche,"€70,000",2 bedrooms | 132 m² ,2 bedrooms,No,Semi equipped,To renovate,600 m² ,No
House for sale,rue du Village 53,"€74,900",3 bedrooms | 133 m² ,3 bedrooms,No,Semi equipped,To renovate,200 m² ,No
House for sale,Rue Wartonlieu 128,"€75,000",3 bedrooms | 131 m² ,3 bedrooms,No,Not installed,To renovate,200 m² ,No
House for sale,7300 — Boussu,"€75,000",3 bedrooms | 91 m² ,3 bedrooms,No,Not installed,To renovate,200 m² ,No
House for sale,Rue Paul Pastur 186,"€79,000",2 bedrooms | 80 m² ,2 bedrooms,No,Semi equipped,To renovate,200 m² ,No
House for sale,6560 — Erquelinnes,"€80,000",2 bedrooms | 118 m² ,2 bedrooms,No,Semi equipped,To renovate,200 m² ,No
House for sale,Rue du Docteur Haquin 14,"€80,000",2 bedrooms | 79 m² ,2 bedrooms,No,Semi equipped,To be done up,200 m² ,No
House for sale,RO - Rue Bas du Rieu 33,"€80,000",2 bedrooms | 80 m² ,2 bedrooms,No,Semi equipped,To renovate,200 m² ,No
House for sale,5630 — Cerfontaine,"€85,000",2 bedrooms | 128 m² ,2 bedrooms,No,Semi equipped,To renovate,100 m² ,No
House for sale,Warestraat 7,"€88,000",4 bedrooms,4 bedrooms,No,Semi equipped,To renovate,100 m² ,No
House for sale,6470 — Rance,"€90,000",2 bedrooms | 188 m² ,2 bedrooms,No,Not installed,To renovate,500 m² ,No
House for sale,Warestraat 11,"€90,000",4 bedrooms,4 bedrooms,No,Not installed,To renovate,500 m² ,No
House for sale,Rue Saint-Agapit 2,"€95,000",2 bedrooms | 153 m² ,2 bedrooms,No,Not installed,To renovate,500 m² ,No
House for sale,Chenois 142,"€99,000",3 bedrooms | 140 m² ,3 bedrooms,No,Not installed,To renovate,60 m² ,No
House for sale,Oostlaan 22,"€99,000",4 bedrooms,4 bedrooms,No,Not installed,To renovate,60 m² ,No
House for sale,9200 — SINT-GILLIS-BIJ-DENDERMONDE,"€100,000",4 bedrooms | 348 m² ,4 bedrooms,No,Hyper equipped,To renovate,60 m² ,No
House for sale,Oostlaan 2,"€103,000",4 bedrooms,4 bedrooms,No,Hyper equipped,To renovate,60 m² ,No
House for sale,Jodestraat 29 + 1,"€105,000",3 bedrooms | 206 m² ,3 bedrooms,No,Hyper equipped,To renovate,60 m² ,No
House for sale,7760 — MOLENBAIX,"€109,000",2 bedrooms | 140 m² ,2 bedrooms,No,Semi equipped,To renovate,60 m² ,No
House for sale,Place du Louvy 8,"€115,000",2 bedrooms | 107 m² ,2 bedrooms,No,Not installed,To renovate,60 m² ,No
House for sale,Rue des Pierres 94,"€119,500",2 bedrooms | 85 m² ,2 bedrooms,No,Installed,Good,60 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,Good,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,Good,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Rue du Wainage 181,"€120,000",4 bedrooms | 114 m² ,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,7340 — Wasmes,"€120,000",2 bedrooms | 168 m² ,2 bedrooms,No,USA hyper equipped,To renovate,751 m² ,Yes
House for sale,Rue de la Station 16,"€125,000",1 bedroom | 105 m² ,1 bedroom,No,Semi equipped,Good,751 m² ,Yes
Mixed-use building for sale,Rue de la Station 16,"€125,000",1 bedroom | 105 m² ,1 bedroom,No,Semi equipped,Good,751 m² ,Yes
