Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,Gaversstraat 48,"€128,000",3 bedrooms | 93 m² ,3 bedrooms,No,Installed,To renovate,90 m² ,No
House for sale,Rue Gomelevay 17,"€130,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,To renovate,150 m² ,No
House for sale,Kleine Gaffelstraat 11,"€133,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,Good,150 m² ,No
Apartment block for sale,Rue du Marais 70,"€135,000",5 bedrooms | 219 m² ,5 bedrooms,No,Not installed,To renovate,120 m² ,No
House for sale,Marché 35 Box B,"€139,000",3 bedrooms | 120 m² ,3 bedrooms,No,Not installed,To be done up,120 m² ,Yes
House for sale,Porte d'Ogy 35,"€139,000",4 bedrooms | 149 m² ,4 bedrooms,No,Not installed,As new,120 m² ,No
House for sale,Rue de la Roche 19,"€149,000",3 bedrooms | 130 m² ,3 bedrooms,No,Not installed,Good,118 m² ,No
House for sale,Rue Chapelle Beaussart 141,"€149,000",4 bedrooms,4 bedrooms,No,Installed,To be done up,118 m² ,No
House for sale,Rue du Cortonnoy 45,"€150,000",2 bedrooms | 116 m² ,2 bedrooms,No,Not installed,Just renovated,118 m² ,No
House for sale,Rue Floreal 6,"€150,000",3 bedrooms | 150 m² ,3 bedrooms,No,Not installed,To renovate,65 m² ,No
House for sale,7090 — Braine-le-Comte,"€150,000",2 bedrooms | 95 m² ,2 bedrooms,No,Installed,Good,65 m² ,No
House for sale,5542 — Blaimont,"€155,000",2 bedrooms | 63 m² ,2 bedrooms,No,Installed,As new,625 m² ,No
House for sale,Domaine de la Brisée 331,"€155,000",3 bedrooms | 95 m² ,3 bedrooms,No,Installed,As new,625 m² ,No
House for sale,Rue De La Fontaine 87,"€158,000",3 bedrooms,3 bedrooms,No,USA installed,Just renovated,1 m² square meter,No
House for sale,Gentsestraat 20,"€158,000",2 bedrooms | 130 m² ,2 bedrooms,No,Semi equipped,To renovate,1 m² square meter,No
House for sale,"Provincieweg 6,","€159,000",2 bedrooms,2 bedrooms,No,Semi equipped,Good,1 m² square meter,No
House for sale,Rue Mont Royal 1 A,"€160,000",2 bedrooms | 118 m² ,2 bedrooms,No,Semi equipped,Good,1 m² square meter,No
Mixed-use building for sale,Rue Capitaine Lekeux 10,"€164,500",4 bedrooms | 216 m² ,4 bedrooms,No,Semi equipped,Good,190 m² ,No
House for sale,Rue Capitaine Lekeux 10,"€164,500",4 bedrooms | 216 m² ,4 bedrooms,No,Semi equipped,Good,190 m² ,No
House for sale,En-Mi-La-Ville 3,"€164,900",4 bedrooms | 150 m² ,4 bedrooms,No,Semi equipped,To renovate,20 m² ,No
House for sale,Avenue Henri Beriot 9,"€165,000",3 bedrooms | 90 m² ,3 bedrooms,No,Semi equipped,As new,200 m² ,No
House for sale,Rue des Cheminots 6,"€169,000",3 bedrooms | 114 m² ,3 bedrooms,No,Semi equipped,As new,257 m² ,No
