Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,Rue des Alliés 120,"€169,000",2 bedrooms | 123 m² ,2 bedrooms,No,Installed,As new,257 m² ,No
House for sale,Rue des Alliés 120,"€169,000",2 bedrooms | 123 m² ,2 bedrooms,No,Installed,As new,257 m² ,No
House for sale,Brusselbaan 235,"€169,000",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,As new,250 m² ,No
Mixed-use building for sale,Sint-Jansstraat 18,"€172,400",2 bedrooms | 194 m² ,2 bedrooms,No,Semi equipped,To be done up,250 m² ,No
House for sale,7012 — FLÉNU,"€175,000",3 bedrooms | 226 m² ,3 bedrooms,No,Semi equipped,To be done up,250 m² ,No
House for sale,7130 — BRAY,"€175,000",2 bedrooms,2 bedrooms,No,Installed,Just renovated,250 m² ,No
House for sale,Rue Adolphe Mahieu 54,"€175,000",3 bedrooms | 130 m² ,3 bedrooms,No,Semi equipped,Just renovated,250 m² ,No
House for sale,Rue Golettes 27,"€178,500",4 bedrooms | 125 m² ,4 bedrooms,No,Semi equipped,Good,120 m² ,Yes
Villa for sale,Villa aan de Leie 1000 Box C,"€1,100",3 bedrooms | 260 m² ,3 bedrooms,No,Semi equipped,As new,120 m² ,Yes
Apartment for sale,8500 — Kortrijk,"€197,500",2 bedrooms,2 bedrooms,No,Installed,Just renovated,120 m² ,Yes
Apartment for sale,Avenue Houba de Strooper 66,"€329,000",3 bedrooms | 107 m² ,3 bedrooms,No,Installed,Good,120 m² ,Yes
Ground floor for sale,Pastoor Frederickxstraat 44,"€235,000",3 bedrooms | 104 m² ,3 bedrooms,No,Installed,To be done up,120 m² ,Yes
Duplex for sale,Nieuwstraat 99/0201,"€310,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,As new,120 m² ,Yes
House for sale,Bremstraat 3,"€275,000",3 bedrooms | 172 m² ,3 bedrooms,No,Semi equipped,Good,120 m² ,Yes
House for sale,Olmsebaan 6-8-10,"€310,000",7 bedrooms,7 bedrooms,No,Semi equipped,To renovate,120 m² ,Yes
House for sale,Jozef van Gorpstraat 13a,"€369,000",2 bedrooms | 170 m² ,2 bedrooms,No,Semi equipped,Good,120 m² ,Yes
House for sale,Rue Francois 15,"€179,000",5 bedrooms | 140 m² ,5 bedrooms,Yes,Installed,Good,51 m² ,No
House for sale,Rue Fond du Moulin 17,"€179,000",2 bedrooms | 100 m² ,2 bedrooms,No,Semi equipped,To be done up,51 m² ,No
House for sale,Raverschootstraat 84/....,"€179,000",3 bedrooms,3 bedrooms,No,Installed,Good,51 m² ,No
House for sale,Rue Bodson 193,"€179,900",2 bedrooms | 150 m² ,2 bedrooms,No,Installed,To be done up,51 m² ,No
House for sale,rue Jean-Baptiste Cools 46,"€180,000",3 bedrooms | 170 m² ,3 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,4257 — Berloz,"€180,000",2 bedrooms | 145 m² ,2 bedrooms,No,Semi equipped,To renovate,1697 m² ,No
House for sale,7370 — Dour,"€185,000",2 bedrooms | 440 m² ,2 bedrooms,No,Semi equipped,To be done up,175 m² ,No
House for sale,Schoolstraat 5,"€185,000",2 bedrooms | 142 m² ,2 bedrooms,No,Semi equipped,To be done up,175 m² ,No
House for sale,Rue des Vignes 38,"€189,000",5 bedrooms | 300 m² ,5 bedrooms,No,Semi equipped,To be done up,78 m² ,No
Mixed-use building for sale,Rue Grande Commune 9,"€189,000",3 bedrooms | 105 m² ,3 bedrooms,No,Installed,As new,78 m² ,No
House for sale,Rue Grande Commune 9,"€189,000",3 bedrooms | 105 m² ,3 bedrooms,No,Installed,As new,78 m² ,No
Mixed-use building for sale,Rue des Hautes Mezelles 12,"€189,000",5 bedrooms | 198 m² ,5 bedrooms,No,Installed,Good,78 m² ,Yes
House for sale,Rue de Corbeau 56,"€189,000",3 bedrooms | 223 m² ,3 bedrooms,No,Installed,Good,78 m² ,Yes
House for sale,Rue de Corbeau 56,"€189,000",3 bedrooms | 223 m² ,3 bedrooms,No,Installed,Good,78 m² ,Yes
House for sale,Molenstraat 21,"€189,000",3 bedrooms | 131 m² ,3 bedrooms,No,Not installed,To renovate,78 m² ,No
House for sale,Rue de l'Egalite 185,"€189,500",2 bedrooms | 100 m² ,2 bedrooms,No,Hyper equipped,As new,78 m² ,No
House for sale,7134 — PÉRONNES-LEZ-BINCHE,"€190,000",3 bedrooms | 128 m² ,3 bedrooms,No,Installed,As new,78 m² ,No
House for sale,Chaussée de Ninove 37,"€195,000",2 bedrooms | 80 m² ,2 bedrooms,No,Installed,To renovate,78 m² ,No
Mixed-use building for sale,rue de Visé 172,"€198,000",3 bedrooms,3 bedrooms,No,Installed,To renovate,78 m² ,No
House for sale,Rue de l'Egalite 215,"€199,500",2 bedrooms | 105 m² ,2 bedrooms,No,Installed,Good,78 m² ,No
Mixed-use building for sale,1460 — Ittre Virginal-Samme,"€200,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,As new,78 m² ,No
House for sale,1460 — Ittre Virginal-Samme,"€200,000",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,As new,78 m² ,No
House for sale,Allee des Marronniers 21,"€200,000",3 bedrooms | 130 m² ,3 bedrooms,No,Hyper equipped,As new,78 m² ,No
House for sale,"Bavikhoofsestraat 180,","€209,000",4 bedrooms | 148 m² ,4 bedrooms,No,Hyper equipped,Good,78 m² ,No
House for sale,Rue de la Montagne 10,"€210,000",13 bedrooms,13 bedrooms,No,Hyper equipped,Good,78 m² ,No
House for sale,7711 — Mouscron Dottignies,"€214,000",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,Good,110 m² ,No
House for sale,oudegemse baan 82,"€215,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,To renovate,110 m² ,No
House for sale,Heirweg Zuid 42,"€218,500",4 bedrooms | 186 m² ,4 bedrooms,No,Installed,To renovate,110 m² ,No
House for sale,Dworpsestraat 68,"€219,000",2 bedrooms | 151 m² ,2 bedrooms,No,Not installed,To renovate,121 m² ,No
House for sale,Rue de Gozee 1,"€219,000",3 bedrooms | 158 m² ,3 bedrooms,No,Installed,To renovate,121 m² ,No
Villa for sale,Villa aan de Leie 1000 Box C,"€1,100",3 bedrooms | 260 m² ,3 bedrooms,No,Installed,As new,121 m² ,Yes
Apartment for sale,8500 — Kortrijk,"€197,500",2 bedrooms,2 bedrooms,No,Installed,Just renovated,121 m² ,Yes
Apartment for sale,Avenue Houba de Strooper 66,"€329,000",3 bedrooms | 107 m² ,3 bedrooms,No,Installed,Good,121 m² ,Yes
Ground floor for sale,Pastoor Frederickxstraat 44,"€235,000",3 bedrooms | 104 m² ,3 bedrooms,No,Installed,To be done up,121 m² ,Yes
Duplex for sale,Nieuwstraat 99/0201,"€310,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,As new,121 m² ,Yes
House for sale,Bremstraat 3,"€275,000",3 bedrooms | 172 m² ,3 bedrooms,No,Semi equipped,Good,121 m² ,Yes
House for sale,Olmsebaan 6-8-10,"€310,000",7 bedrooms,7 bedrooms,No,Semi equipped,To renovate,121 m² ,Yes
House for sale,Jozef van Gorpstraat 13a,"€369,000",2 bedrooms | 170 m² ,2 bedrooms,No,Semi equipped,Good,121 m² ,Yes
House for sale,Maandagstraat 63,"€222,500",3 bedrooms | 149 m² ,3 bedrooms,No,Semi equipped,To renovate,121 m² ,No
House for sale,4031 — Angleur,"€224,000",4 bedrooms | 132 m² ,4 bedrooms,No,Semi equipped,To be done up,45 m² ,No
House for sale,Avenue Sur Cortil 11,"€225,000",4 bedrooms | 142 m² ,4 bedrooms,No,Semi equipped,To be done up,45 m² ,No
House for sale,Rue d'Hamptay 63,"€225,000",5 bedrooms | 305 m² ,5 bedrooms,No,Semi equipped,Good,520 m² ,No
House for sale,6230 — Pont-a-Celles,"€225,000",4 bedrooms | 180 m² ,4 bedrooms,No,Semi equipped,Good,520 m² ,No
House for sale,Marais de l'Eglise 16,"€225,000",3 bedrooms,3 bedrooms,No,Semi equipped,Good,835 m² ,No
House for sale,Kolshoekstraat w407,"€225,000",2 bedrooms,2 bedrooms,No,Hyper equipped,As new,500 m² ,No
House for sale,Holestraat 96,"€225,000",2 bedrooms | 127 m² ,2 bedrooms,No,Hyper equipped,To renovate,500 m² ,No
House for sale,Rue Salvador Allende 20,"€227,000",3 bedrooms | 236 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Guillaume Delarge 33,"€229,000",4 bedrooms | 158 m² ,4 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Rue de l'Egalite 133,"€235,000",2 bedrooms | 105 m² ,2 bedrooms,No,Installed,Just renovated,35 m² ,No
House for sale,Albrecht Rodenbachplantsoen 2,"€239,000",3 bedrooms | 110 m² ,3 bedrooms,No,Installed,Good,35 m² ,No
House for sale,7503 — Froyennes,"€240,000",4 bedrooms | 221 m² ,4 bedrooms,No,Installed,Good,35 m² ,No
House for sale,1430 — Rebecq,"€245,000",2 bedrooms | 132 m² ,2 bedrooms,No,Semi equipped,To be done up,35 m² ,No
House for sale,Thier du Hornay 20 Box A,"€245,000",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,As new,115 m² ,No
House for sale,Lange Lobroekstraat 52,"€249,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,To be done up,115 m² ,No
Apartment block for sale,Rue Saint-Bernard 2E,"€249,000",3 bedrooms | 150 m² ,3 bedrooms,No,Semi equipped,Good,250 m² ,Yes
House for sale,Rue Du Comté 49,"€249,000",4 bedrooms | 150 m² ,4 bedrooms,No,Semi equipped,Good,450 m² ,No
House for sale,Paardenkerkhofstraat 24,"€249,500",4 bedrooms | 144 m² ,4 bedrooms,No,Not installed,To be done up,65 m² ,No
Mixed-use building for sale,Zuiderlaan 37 Box 34,"€249,500",1 bedroom | 62 m² ,1 bedroom,No,Installed,As new,65 m² ,No
House for sale,Wielewaalstraat 14,"€257,500",3 bedrooms,3 bedrooms,No,USA hyper equipped,Good,65 m² ,No
House for sale,Raverschootstraat 114.,"€259,000",2 bedrooms | 150 m² ,2 bedrooms,No,Installed,Good,65 m² ,No
House for sale,Deerlijksestraat 8,"€260,000",3 bedrooms | 142 m² ,3 bedrooms,No,Installed,As new,65 m² ,No
House for sale,Rue Caquin 81,"€263,000",4 bedrooms | 170 m² ,4 bedrooms,No,Semi equipped,Good,65 m² ,No
House for sale,5370 — Havelange,"€265,000",3 bedrooms | 124 m² ,3 bedrooms,No,Semi equipped,Good,821 m² ,No
House for sale,Rue des Closieres 328,"€269,000",4 bedrooms | 142 m² ,4 bedrooms,No,Semi equipped,Good,821 m² ,No
House for sale,7700 — Mouscron,"€269,000",3 bedrooms | 130 m² ,3 bedrooms,No,Installed,As new,100 m² ,No
House for sale,2160 — Wommelgem,"€275,000",2 bedrooms | 170 m² ,2 bedrooms,No,Semi equipped,To renovate,100 m² ,No
House for sale,2580 — Putte,"€275,000",3 bedrooms | 173 m² ,3 bedrooms,No,Semi equipped,To renovate,100 m² ,No
House for sale,2830 — Willebroek,"€275,000",3 bedrooms,3 bedrooms,No,Installed,Good,100 m² ,No
Villa for sale,Villa aan de Leie 1000 Box C,"€1,100",3 bedrooms | 260 m² ,3 bedrooms,No,Installed,As new,100 m² ,Yes
Apartment for sale,8500 — Kortrijk,"€197,500",2 bedrooms,2 bedrooms,No,Installed,Just renovated,100 m² ,Yes
Apartment for sale,Avenue Houba de Strooper 66,"€329,000",3 bedrooms | 107 m² ,3 bedrooms,No,Installed,Good,100 m² ,Yes
Ground floor for sale,Pastoor Frederickxstraat 44,"€235,000",3 bedrooms | 104 m² ,3 bedrooms,No,Installed,To be done up,100 m² ,Yes
Duplex for sale,Nieuwstraat 99/0201,"€310,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,As new,100 m² ,Yes
House for sale,Bremstraat 3,"€275,000",3 bedrooms | 172 m² ,3 bedrooms,No,Semi equipped,Good,100 m² ,Yes
House for sale,Olmsebaan 6-8-10,"€310,000",7 bedrooms,7 bedrooms,No,Semi equipped,To renovate,100 m² ,Yes
House for sale,Jozef van Gorpstraat 13a,"€369,000",2 bedrooms | 170 m² ,2 bedrooms,No,Semi equipped,Good,100 m² ,Yes
Mixed-use building for sale,Smoutakker 8,"€275,000",3 bedrooms | 240 m² ,3 bedrooms,No,Semi equipped,To renovate,100 m² ,Yes
House for sale,Rue du Sacré-Coeur 7,"€275,000",4 bedrooms | 250 m² ,4 bedrooms,No,Not installed,To renovate,100 m² ,Yes
Bungalow for sale,Rue des Vignerons 8,"€275,000",2 bedrooms | 220 m² ,2 bedrooms,No,Installed,Good,340 m² ,No
House for sale,7700 — Mouscron,"€279,000",3 bedrooms | 240 m² ,3 bedrooms,No,Installed,To be done up,340 m² ,No
House for sale,4000 — Liège,"€280,000",5 bedrooms | 392 m² ,5 bedrooms,No,Installed,To be done up,340 m² ,No
House for sale,Rue De Verviers 152,"€284,999",4 bedrooms,4 bedrooms,No,Installed,To be done up,200 m² ,No
Apartment block for sale,1400 — Nivelles,"€285,000",6 bedrooms | 293 m² ,6 bedrooms,No,Installed,Good,200 m² ,No
House for sale,1400 — Nivelles,"€285,000",6 bedrooms | 293 m² ,6 bedrooms,No,Installed,Good,200 m² ,No
Apartment block for sale,1495 — Villers-la-Ville,"€285,000",6 bedrooms | 277 m² ,6 bedrooms,No,Not installed,To renovate,200 m² ,No
House for sale,1495 — Villers-la-Ville,"€285,000",6 bedrooms | 277 m² ,6 bedrooms,No,Not installed,To renovate,200 m² ,No
Bungalow for sale,Steenweg Hulst Lessen 56,"€285,000",2 bedrooms | 88 m² ,2 bedrooms,No,Installed,To renovate,200 m² ,No
House for sale,Museumstraat 101,"€285,000",3 bedrooms | 274 m² ,3 bedrooms,No,Installed,To renovate,200 m² ,No
Mixed-use building for sale,Rue de Fetinne 75,"€289,000",5 bedrooms | 200 m² ,5 bedrooms,No,Not installed,Good,82 m² ,No
House for sale,Rue du Bar 44,"€289,000",3 bedrooms | 105 m² ,3 bedrooms,No,Installed,To be done up,1123 m² ,No
Mixed-use building for sale,Rue du Fort 2,"€290,000",5 bedrooms | 215 m² ,5 bedrooms,No,Installed,To renovate,20 m² ,No
House for sale,7522 — Blandain,"€290,000",5 bedrooms | 404 m² ,5 bedrooms,No,Semi equipped,To renovate,20 m² ,No
House for sale,"Menenstraat 275,","€290,000",4 bedrooms | 330 m² ,4 bedrooms,No,Semi equipped,Good,20 m² ,No
House for sale,Place Melveille 15,"€295,000",5 bedrooms,5 bedrooms,No,Semi equipped,Good,108 m² ,No
House for sale,Prinsenvelddreef 22,"€295,000",4 bedrooms | 145 m² ,4 bedrooms,Yes,Semi equipped,As new,108 m² ,No
House for sale,6210 — FRASNES-LEZ-GOSSELIES,"€299,000",4 bedrooms | 265 m² ,4 bedrooms,No,Semi equipped,To renovate,878 m² ,No
Bungalow for sale,Wilgenlaan 15 Box A,"€299,000",3 bedrooms | 134 m² ,3 bedrooms,No,Installed,Good,878 m² ,No
House for sale,Pavillonchamps 27,"€299,500",5 bedrooms | 150 m² ,5 bedrooms,No,Installed,To be done up,1686 m² ,No
House for sale,Rue de l'Alun 10,"€300,000",7 bedrooms,7 bedrooms,No,Installed,To be done up,1686 m² ,No
Villa for sale,Avenue Jacques Grégoire 17,"€305,000",3 bedrooms,3 bedrooms,No,Installed,To be done up,1686 m² ,No
House for sale,Steenweg naar Oudegem 183,"€305,000",3 bedrooms | 202 m² ,3 bedrooms,No,Installed,To be done up,1686 m² ,No
House for sale,Chaussée de Marenne 131,"€309,000",3 bedrooms | 140 m² ,3 bedrooms,No,USA installed,Good,770 m² ,No
Farmhouse for sale,Avenue de la Gare 182 Box a et b,"€310,000",4 bedrooms | 500 m² ,4 bedrooms,No,Semi equipped,To renovate,450 m² ,No
House for sale,"Damstraat 25,","€310,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To renovate,122 m² ,No
Mixed-use building for sale,"Beverenstraat , A0201","€314,680",3 bedrooms | 122 m² ,3 bedrooms,No,Semi equipped,To renovate,122 m² ,No
House for sale,Rue d'Harnoncourt 133,"€315,000",3 bedrooms | 143 m² ,3 bedrooms,No,Installed,Good,750 m² ,No
Villa for sale,Villa aan de Leie 1000 Box C,"€1,100",3 bedrooms | 260 m² ,3 bedrooms,No,Installed,As new,750 m² ,Yes
Apartment for sale,8500 — Kortrijk,"€197,500",2 bedrooms,2 bedrooms,No,Installed,Just renovated,750 m² ,Yes
Apartment for sale,Avenue Houba de Strooper 66,"€329,000",3 bedrooms | 107 m² ,3 bedrooms,No,Installed,Good,750 m² ,Yes
Ground floor for sale,Pastoor Frederickxstraat 44,"€235,000",3 bedrooms | 104 m² ,3 bedrooms,No,Installed,To be done up,750 m² ,Yes
Duplex for sale,Nieuwstraat 99/0201,"€310,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,As new,750 m² ,Yes
House for sale,Bremstraat 3,"€275,000",3 bedrooms | 172 m² ,3 bedrooms,No,Semi equipped,Good,750 m² ,Yes
House for sale,Olmsebaan 6-8-10,"€310,000",7 bedrooms,7 bedrooms,No,Semi equipped,To renovate,750 m² ,Yes
House for sale,Jozef van Gorpstraat 13a,"€369,000",2 bedrooms | 170 m² ,2 bedrooms,No,Semi equipped,Good,750 m² ,Yes
House for sale,Rue des Meuniers 175,"€316,000",3 bedrooms,3 bedrooms,No,Semi equipped,Good,464 m² ,Yes
House for sale,Diestersteenweg 164,"€318,000",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,464 m² ,Yes
House for sale,"Tiensestraat 17,","€320,000",2 bedrooms | 407 m² ,2 bedrooms,No,Installed,Good,220 m² ,No
Villa for sale,Chemin des Crolites 7,"€320,000",5 bedrooms,5 bedrooms,No,Installed,To be done up,220 m² ,No
House for sale,1440 — Braine-le-Chateau,"€325,000",4 bedrooms | 198 m² ,4 bedrooms,No,USA hyper equipped,Just renovated,220 m² ,No
Villa for sale,Rue d'Omerie 44,"€325,000",4 bedrooms | 191 m² ,4 bedrooms,No,Hyper equipped,Good,220 m² ,No
House for sale,Rue du Tumulus 35 Box A,"€329,000",4 bedrooms,4 bedrooms,No,Installed,Good,220 m² ,No
House for sale,Rue d'Hassonville 101,"€329,000",5 bedrooms | 251 m² ,5 bedrooms,No,USA hyper equipped,Good,273 m² ,No
Bungalow for sale,Holestraat 55,"€329,000",2 bedrooms,2 bedrooms,No,Installed,Good,273 m² ,No
House for sale,1325 — Chaumont-Gistoux,"€330,000",4 bedrooms | 211 m² ,4 bedrooms,No,Installed,Good,273 m² ,No
House for sale,"Gentweg 2,","€330,000",3 bedrooms | 151 m² ,3 bedrooms,No,Installed,To be done up,273 m² ,No
House for sale,Rue de l'arsenal 62,"€330,750",3 bedrooms | 256 m² ,3 bedrooms,No,Installed,To be done up,273 m² ,No
House for sale,"Vierwegstraat 2,","€331,000",7 bedrooms | 300 m² ,7 bedrooms,No,Installed,To be done up,93 m² ,No
House for sale,1852 — Grimbergen,"€335,000",2 bedrooms | 142 m² ,2 bedrooms,No,Installed,Good,250 m² ,No
Town-house for sale,2630 — Aartselaar,"€339,000",3 bedrooms | 162 m² ,3 bedrooms,No,Installed,Good,221 m² ,No
House for sale,Vilvoordsesteenweg 103,"€340,000",3 bedrooms | 218 m² ,3 bedrooms,No,Installed,Good,221 m² ,No
House for sale,"Panneputstraat 11,","€349,000",3 bedrooms,3 bedrooms,No,Installed,Good,50 m² ,No
House for sale,Olmensebaan 132,"€349,500",5 bedrooms | 240 m² ,5 bedrooms,No,Installed,As new,50 m² ,No
House for sale,Rue De L'église 12,"€350,000",2 bedrooms | 163 m² ,2 bedrooms,No,Installed,Just renovated,50 m² ,No
Villa for sale,Rue De La Croisette 79,"€350,000",3 bedrooms | 180 m² ,3 bedrooms,No,Hyper equipped,As new,2000 m² ,No
House for sale,"Uilstraat 2,","€350,000",3 bedrooms | 148 m² ,3 bedrooms,No,Installed,Good,2000 m² ,Yes
House for sale,Brandweerstraat 1,"€350,000",4 bedrooms | 200 m² ,4 bedrooms,No,Installed,As new,2000 m² ,Yes
House for sale,8560 — Wevelgem,"€355,000",3 bedrooms | 158 m² ,3 bedrooms,No,Hyper equipped,As new,210 m² ,No
House for sale,1420 — Braine-l'Alleud,"€359,000",3 bedrooms | 199 m² ,3 bedrooms,No,Installed,As new,174 m² ,No
House for sale,Granaatstraat 30,"€360,000",3 bedrooms | 145 m² ,3 bedrooms,No,Installed,As new,174 m² ,No
House for sale,Engelbert Van Arenbergstraat 37,"€365,000",3 bedrooms | 117 m² ,3 bedrooms,No,Installed,As new,174 m² ,No
House for sale,Edward De Jansstraat 33,"€369,000",4 bedrooms | 192 m² ,4 bedrooms,No,Installed,As new,26 m² ,No
House for sale,Crimont 23,"€370,000",3 bedrooms | 250 m² ,3 bedrooms,No,Installed,To renovate,26 m² ,No
House for sale,Leerlooierijstraat 57,"€375,000",3 bedrooms | 142 m² ,3 bedrooms,No,Installed,Just renovated,58 m² ,No
Town-house for sale,Esdoornlaan 13,"€375,000",3 bedrooms | 210 m² ,3 bedrooms,No,Installed,As new,58 m² ,No
Villa for sale,Villa aan de Leie 1000 Box C,"€1,100",3 bedrooms | 260 m² ,3 bedrooms,No,Installed,As new,58 m² ,Yes
Apartment for sale,8500 — Kortrijk,"€197,500",2 bedrooms,2 bedrooms,No,Installed,Just renovated,58 m² ,Yes
Apartment for sale,Avenue Houba de Strooper 66,"€329,000",3 bedrooms | 107 m² ,3 bedrooms,No,Installed,Good,58 m² ,Yes
Ground floor for sale,Pastoor Frederickxstraat 44,"€235,000",3 bedrooms | 104 m² ,3 bedrooms,No,Installed,To be done up,58 m² ,Yes
Duplex for sale,Nieuwstraat 99/0201,"€310,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,As new,58 m² ,Yes
House for sale,Bremstraat 3,"€275,000",3 bedrooms | 172 m² ,3 bedrooms,No,Semi equipped,Good,58 m² ,Yes
House for sale,Olmsebaan 6-8-10,"€310,000",7 bedrooms,7 bedrooms,No,Semi equipped,To renovate,58 m² ,Yes
House for sale,Jozef van Gorpstraat 13a,"€369,000",2 bedrooms | 170 m² ,2 bedrooms,No,Semi equipped,Good,58 m² ,Yes
House for sale,Monseigneur Waffelaertlaan 2,"€376,800",3 bedrooms | 182 m² ,3 bedrooms,No,Installed,Good,58 m² ,Yes
House for sale,1420 — Braine-l'Alleud,"€379,000",4 bedrooms | 170 m² ,4 bedrooms,No,Installed,Good,58 m² ,Yes
House for sale,Zepperen-Dorp 53,"€395,000",4 bedrooms | 241 m² ,4 bedrooms,No,Installed,Good,58 m² ,Yes
House for sale,6980 — Beausaint,"€395,000",4 bedrooms | 150 m² ,4 bedrooms,No,Hyper equipped,As new,1136 m² ,No
House for sale,Albert Mockel 45,"€399,000",5 bedrooms | 239 m² ,5 bedrooms,No,Hyper equipped,Good,1136 m² ,No
House for sale,Jules Persoonsstraat 46,"€400,000",4 bedrooms,4 bedrooms,No,Hyper equipped,Good,1136 m² ,No
House for sale,Gentsesteenweg (lot5) 29,"€405,000",3 bedrooms | 207 m² ,3 bedrooms,No,Hyper equipped,As new,1136 m² ,No
Town-house for sale,"Reepstraat 32,","€408,000",3 bedrooms | 142 m² ,3 bedrooms,No,Installed,As new,158 m² ,No
House for sale,Spiegelbosstraat 10,"€414,000",4 bedrooms | 200 m² ,4 bedrooms,No,USA installed,As new,158 m² ,No
Country house for sale,Chaussée de Brunehaut 46,"€415,000",5 bedrooms | 290 m² ,5 bedrooms,No,USA semi equipped,To be done up,6800 m² ,No
House for sale,Gentsesteenweg (lot6) 27,"€415,000",3 bedrooms | 207 m² ,3 bedrooms,No,Hyper equipped,As new,6800 m² ,No
House for sale,Gentsesteenweg (lot4) 29,"€415,000",3 bedrooms | 207 m² ,3 bedrooms,No,Hyper equipped,As new,6800 m² ,No
House for sale,Gentsesteenweg (lot3) 29,"€415,000",3 bedrooms | 207 m² ,3 bedrooms,No,Hyper equipped,As new,6800 m² ,No
House for sale,Postweg 147,"€419,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,As new,6800 m² ,No
Mansion for sale,Korte Munte 3,"€425,000",5 bedrooms | 250 m² ,5 bedrooms,No,Hyper equipped,To renovate,6800 m² ,No
House for sale,Petit Pave de Luna 23 Box B,"€429,000",4 bedrooms | 300 m² ,4 bedrooms,No,USA hyper equipped,Good,6800 m² ,No
House for sale,Brugse Steenweg 146,"€439,000",4 bedrooms | 175 m² ,4 bedrooms,No,USA hyper equipped,As new,30 m² ,No
House for sale,Langenakker 30,"€449,000",2 bedrooms | 135 m² ,2 bedrooms,No,Installed,As new,30 m² ,No
