Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,Zijpstraat 140,"€390,000",5 bedrooms | 259 m² ,5 bedrooms,No,Semi equipped,Good,300 m² ,No
House for sale,Rillaarseweg 69 Box B zn,"€391,000",3 bedrooms | 224 m² ,3 bedrooms,No,Semi equipped,Good,300 m² ,No
House for sale,2940 — Stabroek,"€395,000",3 bedrooms | 160 m² ,3 bedrooms,No,Hyper equipped,Good,300 m² ,No
House for sale,3120 — Tremelo,"€395,000",3 bedrooms | 171 m² ,3 bedrooms,No,Hyper equipped,To renovate,300 m² ,No
House for sale,Waterhoekweg 2,"€395,000",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,300 m² ,No
House for sale,6767 — Torgny,"€398,000",3 bedrooms | 240 m² ,3 bedrooms,No,Installed,As new,300 m² ,No
House for sale,"Zaubeekstraat 79,","€398,000",4 bedrooms | 223 m² ,4 bedrooms,No,Installed,As new,300 m² ,No
House for sale,"Zaubeekstraat 79,","€398,000",4 bedrooms | 223 m² ,4 bedrooms,No,Installed,As new,300 m² ,No
House for sale,Citadellaan 36,"€399,000",5 bedrooms | 160 m² ,5 bedrooms,No,Installed,As new,300 m² ,No
House for sale,"Leeuweriksstraat 6,","€399,000",4 bedrooms | 247 m² ,4 bedrooms,No,Installed,Good,300 m² ,No
House for sale,Bollemeersstraat 21 Box A,"€399,000",4 bedrooms,4 bedrooms,No,Installed,As new,300 m² ,No
House for sale,"Processieweg 35,","€399,600",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,Good,256 m² ,No
Country house for sale,Rue de Quièvremont 2 Box 7543,"€400,000",2 bedrooms | 120 m² ,2 bedrooms,No,Installed,Just renovated,256 m² ,No
House for sale,Dorpsstraat 20,"€400,000",3 bedrooms | 169 m² ,3 bedrooms,No,Installed,Just renovated,256 m² ,No
House for sale,Rabotstraat 57,"€408,000",3 bedrooms,3 bedrooms,No,Installed,To renovate,256 m² ,No
House for sale,7060 — Soignies,"€420,000",3 bedrooms | 240 m² ,3 bedrooms,No,Installed,Good,1600 m² ,No
House for sale,Sint Jansstraat 35,"€420,000",4 bedrooms,4 bedrooms,No,Installed,As new,1600 m² ,No
House for sale,"Tieltstraat 2,","€422,000",4 bedrooms | 180 m² ,4 bedrooms,No,Installed,Good,1600 m² ,No
House for sale,Avenue de la Vecquée 19,"€425,000",2 bedrooms | 150 m² ,2 bedrooms,No,USA hyper equipped,As new,1600 m² ,No
House for sale,Geraardsbergsesteenweg 371,"€425,000",3 bedrooms | 189 m² ,3 bedrooms,No,Installed,As new,198 m² ,No
House for sale,Pater Domstraat 16/W3,"€410,000",4 bedrooms | 161 m² ,4 bedrooms,No,Installed,As new,198 m² ,No
House for sale,Kastanjelaan 6,"€619,000",6 bedrooms | 304 m² ,6 bedrooms,No,Installed,As new,198 m² ,No
House for sale,Elsenstraat 12,"€215,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,To be done up,198 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,To be done up,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,To be done up,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
House for sale,Roeselarestraat 67,"€431,773",4 bedrooms,4 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
House for sale,"Knesselarestraat 24,","€435,000",6 bedrooms | 394 m² ,6 bedrooms,No,Installed,As new,751 m² ,No
House for sale,"Bergensesteenweg 126,","€445,000",4 bedrooms | 255 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
House for sale,Zetternamstraat 38 Box 2,"€450,000",3 bedrooms | 184 m² ,3 bedrooms,No,Installed,Just renovated,751 m² ,No
Mansion for sale,Vrijheidsstraat 11,"€475,000",5 bedrooms | 367 m² ,5 bedrooms,No,Installed,Just renovated,751 m² ,No
Town-house for sale,"Roetaertstraat 63,","€480,000",3 bedrooms | 174 m² ,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,Lane 43,"€489,000",3 bedrooms | 205 m² ,3 bedrooms,No,Installed,Good,751 m² ,No
Villa for sale,Dudzeelse Steenweg 684,"€495,000",3 bedrooms | 200 m² ,3 bedrooms,No,Installed,Good,751 m² ,No
House for sale,Forelstraat 124,"€495,000",4 bedrooms | 187 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
House for sale,Zwijnaardsesteenweg 115,"€497,500",3 bedrooms | 216 m² ,3 bedrooms,No,Installed,Just renovated,751 m² ,No
Mixed-use building for sale,5620 — Florennes,"€500,000",None,1436 m² square meters of land,No,Installed,To renovate,751 m² ,No
House for sale,"Wondelgemstraat 79,","€525,000",4 bedrooms | 180 m² ,4 bedrooms,No,Installed,Good,40 m² ,No
House for sale,"Damse Vaart-Oost 13,","€529,000",4 bedrooms | 213 m² ,4 bedrooms,No,Installed,Good,40 m² ,No
House for sale,Bachtekerkstraat 2/3,"€545,000",4 bedrooms | 242 m² ,4 bedrooms,No,Hyper equipped,As new,40 m² ,No
Villa for sale,2860 — Sint-Katelijne-Waver,"€579,000",3 bedrooms | 223 m² ,3 bedrooms,No,Installed,Good,40 m² ,No
House for sale,Kerkeveldweg 24 Box D,"€584,000",5 bedrooms,5 bedrooms,No,Installed,Good,40 m² ,No
Villa for sale,1421 — Braine-l'Alleud,"€595,000",3 bedrooms | 148 m² ,3 bedrooms,No,Hyper equipped,As new,250 m² ,No
House for sale,6180 — Courcelles,"€595,000",6 bedrooms | 371 m² ,6 bedrooms,No,Installed,Good,6083 m² ,No
Villa for sale,"Tieltstraat 12,","€595,000",None,1362 m² square meters of land,No,Installed,Good,6083 m² ,No
Villa for sale,Vlierstraat 6,"€595,000",3 bedrooms | 210 m² ,3 bedrooms,No,Installed,Good,6083 m² ,No
House for sale,Bachtekerkstraat 2/9,"€605,000",4 bedrooms | 270 m² ,4 bedrooms,No,Hyper equipped,As new,6083 m² ,No
Exceptional property for sale,Avenue du Haut Pays 79,"€690,000",4 bedrooms | 324 m² ,4 bedrooms,No,Hyper equipped,As new,6083 m² ,No
